#2144,#21331,194,"Geological engineers","Geological engineers","Hydrogeology engineer",https://youtu.be/0euKFwZLAhw,Vancouver,Mainland/Southwest,"As a hydrogeological engineer, Emily’s goal is to prevent water contamination by studying ground water problems and designing solutions. As part of her work, she spends time in the field collecting data and inspecting damage to ground water systems such as wells. Emily is passionate about environmental and social issues and finds her career is the perfect blend of addressing both."
#3215,#32121,193,"Medical radiation technologists","Medical radiation technologists","Radiation therapist",https://youtu.be/OXS0lSll2nI,"Prince George",Cariboo,"Kaitlyn, a radiation therapist, plans and delivers radiation treatments to cancer patients. She counsels patients on side effects and supports them through their treatment process. Kaitlyn finds getting to know each patient, supporting them through treatment and celebrating their milestones the most rewarding aspects of her job."
#2171,#21221,192,"Information Systems Analysts and Consultants","Business systems specialist","Business data analyst",https://youtu.be/zKr1YIi5f6A,"Prince George",Cariboo,"Ruby, a member of the Wet'suwet'en Nation, is a business data analyst for Northern Health in the Lheidli T'enneh territory. She uses her math and problem-solving skills to tell a story with data. Ruby finds her work meaningful because she can use data to make a positive impact in her community. She encourages Indigenous people to pursue a career in data analytics so they can have a say in how data is collected, used and seen."
#4031,#41220,191,"Secondary school teachers","Secondary school teacher","Secondary school art teacher",https://youtu.be/oUyNDMdus5U,Smithers,"North Coast & Nechako","Perry helps students succeed academically and personally through his work as a secondary school art teacher. He cultivates hands-on creative experiences for his students in his classroom that he operates like an open studio. Perry expresses how much teachers, including himself, care about their students and want to make school a positive environment for them to learn, grow and prepare for their future."
#2173,#21211,190,"Software engineers and designers","Data scientists","Machine learning engineer",https://youtu.be/2BackbDu2aY,Vancouver,Mainland/Southwest,"Suro, a machine learning engineer, spends his days building credit models and doing credit risk assessments for small businesses. Through his work, Suro helps small businesses receive the funding they need to stay competitive and grow. He says people entering this career should commit to life-long learning and absorbing knowledge from others in the industry."
#2241,#22310,189,"Electrical and electronic engineering technologists and technicians","Electrical and electronic engineering technologists and technicians","Marine technician and remotely operated vehicle (ROV) pilot",https://youtu.be/e5CBflHUPDs,"Prince Rupert","North Coast & Nechako","Hamza, a marine technician and remote vehicle pilot, uses his math skills, curiosity and patience to maintain the fleet of tugboats at SAAM Towage in Prince Rupert. He uses tools such as remotely operated vehicles for underwater inspections, ensuring that the boats are in safe working condition. "
#3219,#33103,188,"Other medical technologists and technicians (except dental health)","Pharmacy technical assistants and pharmacy assistants","Pharmacy assistant",https://youtu.be/t9Ir5Mb-HwY,Terrace,"North Coast & Nechako","As a pharmacy assistant, Tish works in a retail environment and prepares prescriptions for patients, ensuring they receive the correct medications and dosages. Tish also recommends over-the-counter medications to those who come into the pharmacy seeking advice. Tish enjoys working in a team where everyone’s roles and responsibilities complement one another to achieve the same goal of helping people feel better."
#7294,#73112,187,"Painter and decorators (except interior decorators)","Painter and decorators (except interior decorators)",Painter,https://youtu.be/dJBJZVyMnVQ,"Dawson Creek",Northeast,"Karla runs her own painting business and uses her skills to help people feel happier in their workplace or home. She pays careful attention to detail, ensuring her customers get a high-quality result. Karla’s favourite part of her job is meeting people and getting to brighten their day by going above and beyond their expectations. "
#2121,#21110,186,"Biologists and related scientists","Biologists and related scientists","Marine ecosystems biologist",https://youtu.be/Y-5nEOk69lY,"Prince George",Cariboo,"Aaron’s work as an aquatic ecosystems biologist involves field work like collecting and observing environmental samples and in-office work such as data analysis and report writing. A career as a biologist is a great choice for those that love being outdoors, are passionate about the environment and don’t mind getting their hands dirty."
#2171,#21220,185,"
Information systems analysts and consultants","Cybersecurity specialists","Cybersecurity analyst",https://youtu.be/aAVrYtZyo50,"Prince George",Cariboo,"As a cybersecurity analyst for the College of New Caledonia, Hawkeye monitors, prevents and responds to cyberattacks, ensuring the safety of data and systems. His work involves investigation and problem solving, which make Hawkeye feel like a detective. He also regularly researches to stay up to date on evolving cyber threats. His job isn’t always easy, but he enjoys solving problems and having positive interactions with the people he is helping and his colleagues in the field."
#9243,#92101,173,"Water and Waste Treatment Plant Operators","Water and waste treatment plant operators","Water treatment plant supervisor",https://youtu.be/7ZXRvtCZvZI,Kamloops,Thompson-Okanagan,"Darrell, a water treatment plant supervisor, takes Mariam on a tour of the Tk’emlúps te Secwépemc Water Treatment Plant in Kamloops. He takes pride in his job knowing the community has quality drinking water. "
#2152,#21201,172,"Landscape Architects","Landscape architects","Landscape architect",https://youtu.be/VgEZ7jSAah0,Vancouver,Mainland/Southwest,"Pearl, a Vancouver landscape architect, shows Mariam the types of outdoor spaces she designs. She says the most rewarding part of her job is seeing something that she has designed built as she imagined it and seeing people enjoying that space. "
#0423,#40030,171,"Managers in Social, Community and Correctional Services","Managers in social, community and correctional services","Director of counselling",https://youtu.be/lZU3XmxNgAc,"Port Coquitlam",Mainland/Southwest,"As a director of counselling, Ofir shares with Mariam his daily responsibilities of seeing clients, supporting his counsellors and training new counsellors in the practicum program. “The goal is to improve our clients’ lives to the best of our abilities.” "
#3132,#31121,170,"Dietitian and Nutritionist","Dietitians and nutritionists","Registered dietitian",https://youtu.be/zhCAWGHIZSM,Burnaby,Mainland/Southwest,"Annie, a registered dietitian, explains to Mariam how a client’s medical history, diet history and living situation are all connected. She is passionate about her role as a dietitian and helping her clients get to a healthy state. "
#7315,#72404,169,"Aircraft Mechanics and Aircraft Inspectors","Aircraft mechanics and aircraft inspectors","Aircraft maintenance engineer",https://youtu.be/KfGd0MlS71E,Vancouver,Mainland/Southwest,"Siraj takes Mariam on an inspection of an airplane, ensuring all components are safe for it to return to the sky. Watch as he explains how his job involves troubleshooting and digging deeper to solve problems. "
#2242,#22311,168,"Electronic Service Technicians (Household and Business Equipment)","Electronic service technicians (household and business equipment)","Audio visual technician project manager",https://youtu.be/upD9AaYOcUo,Vancouver,Mainland/Southwest,"Meet Lukas, an audio visual technician, who connects people through technology. He explains to Mariam how understanding technical requirements and being able to troubleshoot is an important part of the job."
#3141,#31112,167,"Audiologist and Speech Language Pathologist","Audiologists and speech-language pathologists",Audiologist,https://youtu.be/0OdAhEoNp9E,Vancouver,Mainland/Southwest,"Watch as Mariam travels to North Vancouver to meet Danielle, an audiologist. Danielle’s focus is to help people manage their hearing health and to ease communication difficulties. She describes an audiological assessment and explains what a great sense of accomplishment knowing how much she is changing someone’s life. "
#3232,#32200,166,"Practitioners Of Natural Healing","Traditional Chinese medicine practitioners and acupuncturists",Acupuncturist,https://youtu.be/2uBZhsMRmrc,"East Vancouver",Mainland/Southwest,"Sara, an acupuncturist, explains to Mariam how acupuncture can treat pain and help people get back to optimal health. The most rewarding part of her job is when her clients realize how powerful acupuncture is and how able their body is to heal."
#7233,#72102,165,"Sheet Metal Worker","Sheet metal workers","Sheet metal worker",https://youtu.be/HbtQrE984Uc,Surrey,Mainland/Southwest,"Sheet metal workers fabricate, assemble, install and repair sheet metal products. In Surrey, Mariam meets a sheet metal worker who gives her a tour of the plant and explains the importance of air flow through pipes and ducting in buildings. The best part of her job is pride in her work."
#0601,#60010,164,"Corporate Sales Manager","Corporate sales managers","Corporate sales manager",https://youtu.be/VSHGg7LogAw,Vancouver,Mainland/Southwest,"Mariam is in downtown Vancouver meeting a corporate sales manager who works in the hospitality industry and develops sales strategies for corporate clients. She says that curiosity is important in this role; it allows her to understand her customer better and fulfil their needs."
#7251,#72300,163,Plumber,Plumbers,Plumber,https://youtu.be/U6JMEzevvyc,Vancouver,Mainland/Southwest,"Mariam meets a plumber in Vancouver who loves to work with hands. He talks about installing furnaces and boilers and what training and apprenticeship is required in this career."
#6235,#63102,162,"Financial Sales Representative","Financial sales representatives","Financial sales representative",https://youtu.be/i0z8tL3a22g,Vancouver,Mainland/Southwest,"Mariam meets a financial   sales representative in Vancouver who explains how he supports his clients’ financial portfolios by understanding their needs and providing an appropriate solution. He believes that the best sales people are those who are great at listening."
#7253,#72302,161,"Gas Fitter","Gas fitters","Gas fitter",https://youtu.be/emqjb08a6zY,Terrace,"North Coast & Nechako","Mariam travels to Terrace and meets a gas fitter. She tours his shop and learns about fabricating and fitting different gas systems. Discover what’s challenging and rewarding about this career. "
#1243,#13112,160,"Medical Administrative Assistant","Medical administrative assistants","Medical office assistant",https://youtu.be/w3tpMweWq-s,Kitimat,"North Coast & Nechako","A medical office assistant based in Kitimat doctor’s office describes how she supports her doctor and his patients. She explains that to be effective you need to be organized, have a helping attitude and be eager to learn."
#8432,#85103,159,"Nursery and Greenhouse Workers","Nursery and greenhouse labourers","Nursery and greenhouse worker",https://youtu.be/8zt55n163xc,Vancouver,Mainland/Southwest,"Mariam visits a greenhouse worker in Dawson Creek and discovers what it takes to grow greenhouse vegetables and plants. She works with her hands and enjoys both the solitude while transplanting and interacting with customers."
#3211,#32120,158,"Medical Laboratory Technologist","Medical laboratory technologists","Medical laboratory technologist",https://youtu.be/eym_kFvGDQc,"Prince George",Cariboo,"Mariam visits a medical laboratory technologist in Prince George who conducts lab tests, experiments, and analyses which help diagnose, treat and prevent disease. She finds her career rewarding and says it literally has an impact on saving lives."
#3121,#31111,157,Optometrist,Optometrists,Optometrist,https://youtu.be/7Vj2pUT0JQU,"Prince George",Cariboo,"Mariam meets an optometrist in Prince George who explains the importance of vision, what to expect during an eye exam, and how to become an optometrist. He emphasizes – Becoming a good listener is an important skill in this career."
#6311,#62020,156,"Food Services Supervisor","Food service supervisors","Operations manager",https://youtu.be/VFhY-BSijjw,"Prince George",Cariboo,"Mariam travels to Prince George and meets an operations manager  for a catering company. From planning events to managing inventory to customer service, she describes how she stays organized. The best part of all are the gratifying aspects of her job."
#0912,#90011,155,"Utilities Managers","Utilities managers","Compost coordinator",https://youtu.be/VdawKA9V8Yk,Vernon,Thompson-Okanagan,"Mariam meets the compost coordinator with the city of Kelowna. She takes a tour of the facility and learns about the phases of compost production. See how this “feel-good job” takes something that is usually a waste and turns it into something that is good for the environment."
#5221,#53110,154,Photographer,Photographers,Photographer,https://youtu.be/tF8OwRNAugY,Kelowna,Thompson-Okanagan,"Mariam travels to Kelowna to meet a photographer who shows her what's involved in capturing great moments. This career offers variety in location, schedule and clients. Her sense of adventure and creativity along with her emotional intelligence allows people to feel at ease in front of the camera."
#2241,#22310,153,"Electrical and Electronics Engineering Technologists And Technicians","Electrical and electronics engineering technologists and technicians","Electrical technologist",https://youtu.be/QkT9WoAm8mU,Burnaby,Mainland/Southwest,"Mariam heads to a BC Hydro office in Burnaby to meet an electrical technologist. He explains how he purchases high quality electrical equipment, conducts quality control and what he enjoys most about the job: hands-on work troubleshooting in the field."
#6221,#62100,152,"Technical Sales Specialist - Wholesale Trade","Technical sales specialists - wholesale trade","Technical sales consultant",https://youtu.be/1nH0ruOZOyA,"New Westminster",Mainland/Southwest,"Mariam meets a technical sales consultant in New Westminster who explains how she sells products to scientists to carry out their experiments. The most rewarding part of her job is helping solve issues so that researchers have successful outcomes."
#3122,#31201,151,Chiropractor,Chiropractors,Chiropractor,https://youtu.be/rv3kkqkpFfw,Vancouver,Mainland/Southwest,"A chiropractor in Vancouver shows Mariam how she works with clients doing chiropractic assessments, adjustments, soft tissue therapy and teaching exercises. Her role in improving her patients’ quality of life is the greatest reward of the job."
#2132,#21301,150,"Mechanical Engineers","Mechanical engineers","Robotics engineer",https://youtu.be/7kr-Bhk_X94,Abbotsford,Mainland/Southwest,"In Abbotsford, Mariam meets a robotics engineer, who loves designing robotics products and programming mechanical automation. She learns about the importance of calibration in automation and robotics and that robots will never replace humans!"
#0211,#20010,149,"Engineer Managers","Engineering managers","Engineer manager",https://youtu.be/8zYTf-IqDMk,Vancouver,Mainland/Southwest,"Mariam meets an industrial engineer and project manager in Vancouver whose focus is quality assurance and continuous process improvement. She explains how building relationships and challenging the status quo are key to successful continuous process improvements. "
#5242,#52121,148,"Interior Designer","Interior designers and interior decorators","Interior designer",https://youtu.be/SiWm2NWTBH0,Vancouver,Mainland/Southwest,"Mariam meets a Vancouver-based interior designer who explains how his job involves creating a vision and coming up with innovative designs to fulfill the clients’ needs. She learns about his passion for the arts and how interior design is a blend of architecture, fashion and graphic design."
#4413,#43100,147,"Elementary and Secondary School Teacher Assistants","Elementary and secondary school teacher assistants","Teacher's assistant",https://youtu.be/OzgnNfkXuho,Vancouver,Mainland/Southwest,"Brian visits a middle school to meet a teacher’s assistant whose career is supporting both teachers and students. “The job,” he says, “is about helping students understand why they’re awesome.”"
#6541,#64410,146,"Security Guards and Related Security Service Occupations","Security guards and related security service occupations","Security officer",https://youtu.be/bV9-O1aLyrs,Victoria,"Vancouver Island/Coast","Brian goes to Victoria to learn about the career of a security officer—and gets to explore the Royal BC Museum exhibits that she protects! A big part of this job is customer service, and in her opinion it’s the best part."
#1221,#13100,145,"Administrative Officers","Administrative officers","Production manager",https://youtu.be/lJJfYtIeev8,Vancouver,Mainland/Southwest,"A production manager walks Brian through a day in the life of her busy career in a film company. From beginning to end, she manages up to 16 projects at a time!"
#6411,#64101,144,"Sales and Account Representatives - Wholesale Trade (Non-Technical)","Sales and account representatives - wholesale trade (non-technical)","Account manager",https://youtu.be/tN1H0hxjJTs,Vancouver,Mainland/Southwest,"An account manager for a corporate travel agency takes Brian on a tour of this career. He arranges everything from cars, hotels and flights for his company’s clients, getting them home to their families and making their day easier."
#0712,#70011,143,"Home Building and Renovation Managers","Home building and renovation managers","Home and building renovations manager",https://youtu.be/nXfp3Ef5SPQ,Coquitlam,Mainland/Southwest,"Brian goes to Coquitlam to visit the work site of a home building and renovations manager, whose job it is to manage a renovation from the drawing phase to the last coat of paint."
#2112,#21101,142,Chemists,Chemists,"Chemistry lab manager",https://youtu.be/mgi-iWMq1eY,Vancouver,Mainland/Southwest,"Brian visits a Vancouver-based brewery to meet a chemistry lab manager. This career requires a passion for science and the scientific method, which she has! She loves the little “aha!” moments that happen during a discovery."
#1242,#13111,141,"Legal Administrative Assistants","Legal administrative assistants","Legal administrative assistant",https://youtu.be/2cS63-hyf4Y,Vancouver,Mainland/Southwest,"Brian visits a Vancouver-based family law office to meet a legal administrative assistant. To be successful in this career, it’s important to be very organized to help make sure each day is seamless for the lawyers in the firm."
#2263,#22232,140,"Inspectors in Public and Environmental Health and Occupational Health and Safety","Occupational health and safety specialists","Health and safety consultant",https://youtu.be/LmvZ_XMUuUc,Vancouver,Mainland/Southwest,"Brian meets with a health and safety consultant whose job is to look for potential dangers in the workplace and provide solutions. A reward of this career is knowing that people will make it home safe and sound."
#4164,#41403,139,"Social Policy Researchers, Consultants and Program Officers","Social policy researchers, consultants and program officers","Social policy consultant",https://youtu.be/EaE0PMmxN1M,Vancouver,Mainland/Southwest,"A social policy consultant works with companies and communities. Her job is to understand both sides, and then help them to understand each other. Brian goes to her office in Vancouver to learn more about this career."
#6562,#63211,138,"Estheticians, Electrologists and Related Occupations","Estheticians, electrologists and related occupations","Tattoo artist",https://youtu.be/M4HnqVyH0gQ,Mission,Mainland/Southwest,"She turned a hobby into a career, and now she gets to create art that people can cherish and love forever. Brian goes to Mission to meet a tattoo artist and learn all about this creative career."
#0513,#50012,137,"Recreation, Sports and Fitness Program and Service Directors","Recreation, sports and fitness program and service directors","Recreation director",https://youtu.be/QLRs7dnvn0E,Vancouver,Mainland/Southwest,"Brian meets the director of the BC Wheelchair Basketball Society’s Let’s Play program, which helps to keep kids active. Her job includes planning activities, coaching and more. She loves helping people improve their quality of life."
#4411,#44100,136,"Home Child Care Providers","Home child care providers","Home child care provider",https://youtu.be/ZWeY7fy2iyM,Vancouver,Mainland/Southwest,"Brian visits a home child care provider in Vancouver and observes how she looks after the well-being and social development of children in her care. “This career is suited to someone who is loving, caring and loves being around children”."
#3111,#31100,135,"Specialist Physicians","Specialists in clinical and laboratory medicine",Psychiatrist,https://youtu.be/isFI0eqGFBg,"Prince George",Cariboo,"A psychiatrist in Prince George meets with Brian and shares how she helps people.  She notes that excellent listening and communication skills are essential in her role. She finds it very rewarding helping people to improve their lives."
#5225,#52113,134,"Audio and Video Recording Technicians","Audio and video recording technicians","Audio video technician",https://youtu.be/kELGabgwMQk,"Prince George",Cariboo,"Brian meets with an AV technician who shows how he installs and operates lighting, audio and visual equipment to create event spaces—­all within 24 hours!  He says half the job is technical and the other half is service related."
#2253,#22212,133,"Drafting Technologists and Technicians","Drafting technologists and technicians","Drafting technician",https://youtu.be/-zpx84KT_8s,"Prince George",Cariboo,"A drafting technician shows Brian how he prepares drawings and process diagrams to map industrial projects. In his work he uses computers to develop models, and sometimes does field work to collect notes and measurements using 3D scanners."
#5122,#51110,132,Editors,Editors,"Managing editor",https://youtu.be/UsLsx3o55Wk,"Dawson Creek",Northeast,"Brian interviews a managing editor from Dawson Creek and learns what’s involved in editing a newspaper—­ both online and in print. It’s a fast-paced job where it’s critical to see fine details and be knowledgeable in a variety of areas."
#1411,#14100,131,"General Office Support Workers","General office support workers","General office support worker",https://youtu.be/4867Bc9ktDw,"Ft. St. John",Northeast,"An office support worker from Fort St. John explains the importance of being detail-oriented and having clerical skills in her role. The most rewarding part of her job is providing the best service possible to her colleagues and clients."
#4412,#44101,130,"Home Support Workers, Housekeepers and Related Occupations","Home support workers, caregivers and related occupations","Home support worker",https://youtu.be/PJu38LNOtRg,Castlegar,Kootenay,"Brian travels to Castlegar to meet a home support worker, and learns how rewarding it is to play a role in providing care and companionship to seniors.  Workers in this field help their clients keep their independence and mobility."
#4161,#41400,129,"Natural and Applied Science Policy Researchers, Consultants and Program Officers","Natural and applied science policy researchers, consultants and program officers","Natural science policy program manager",https://youtu.be/ibMhoXvmItc,Nelson,Kootenay,"Brian meets a natural science policy program manager who says that her job is a mix of office and field work.  She conducts research and gives advice on environmental projects. It’s rewarding for her to see improvements to wildlife areas."
#6231,#63100,128,"Insurance Agents and Brokers","Insurance agents and brokers","Insurance broker",https://youtu.be/0iRvVzxuJmc,Nelson,Kootenay,"Brian meets a Nelson insurance broker who explains the job involves giving sound advice and customizing insurance plans to suit her clients’ needs. She enjoys this role, as she likes working with people and because no two days are the same."
#2282,#22221,127,"User Support Technicians","User support technicians","User support technician",https://youtu.be/Udl63UA2U0c,Nelson,Kootenay,"A user support technician talks to Brian about how he provides technical support to clients who are experiencing issues with their computers or devices. This job is about research, problem solving and communicating solutions to customers."
#3222,#32111,126,"Dental Hygienists and Dental Therapists","Dental hygienists and dental therapists","Dental hygienist",https://youtu.be/iyO906A2Iwo,Summerland,"Thompson-Okanagan  ","A dental hygienist shares with Brian all the elements of her job, from reviewing clinical data to cleaning and polishing teeth. She explains that educating her clients on how to keep a healthy smile is also a big part of her job."
#9417,#94106,125,"Machining Tool Operators","Machining tool operators","CNC machine operator",https://youtu.be/Ptsj6-V-qu8,Penticton,Thompson-Okanagan,"A machine operator gives Brian a tour of his shop where he transforms raw steel plates into finished products. He takes care to be precise and accurate to ensure quality. He says “when you have pride in your work, it makes work enjoyable.”"
#6211,#62010,124,"Retail Sales Supervisors","Retail sales supervisors","Retail sales supervisor",https://youtu.be/deNr7yOyK2Y,Kelowna,Thompson-Okanagan,"Brian heads to Kelowna to meet a retail sales supervisor at a natural pet food store. Her duties include hiring and supervising staff, maintaining inventories, overseeing social media and ensuring customer satisfaction."
#5121,#51111,123,"Authors and Writers","Authors and writers (except technical)",Author,https://youtu.be/WEZU4d9Szqo,Kelowna,Thompson-Okanagan,"Brian interviews an author who describes a typical day in her career. She offers advice for those just starting out, noting that you have to be persistent. She also describes some other avenues that authors may take in their career."
#3216,#32122,122,"Medical Sonographers","Medical sonographers","Medical sonographer",https://youtu.be/IHDU67A0uAM,Kelowna,Thompson-Okanagan,"A Kelowna medical sonographer shows Brian how she takes diagnostic ultrasound images and prepares preliminary findings to help in a patient’s diagnosis. She takes images of babies, but explains she also does a wide variety of imaging."
#2281,#22220,121,"Computer Network Technicians","Computer network and web technicians","Computer network technician",https://youtu.be/ISMsrEsaOWs,"West Vancouver",Mainland/Southwest,"A computer network technician takes Brian through a typical day of working on networks, hardware, software and computer equipment.  What he really likes about this career is that it “is changing all the time in a good, positive way”."
