"label","endpoint","datapoint","filename","sheet","range","author","date","period"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2021 June FINAL","Sheet3",,,"2023/01/19 08:00","2021/06/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2021 July FINAL","Sheet3",,,"2023/01/19 08:00","2021/07/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2021 Aug FINAL","Sheet3",,,"2021/09/01 08:00","2021/08/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2021 Sept FINAL","Sheet3",,,"2021/10/01 08:00","2021/09/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2021 Oct FINAL","Sheet3",,,"2021/11/01 08:00","2021/10/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2021 Nov FINAL","Sheet3",,,"2023/01/19 08:00","2021/11/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2021 Dec FINAL","Sheet3",,,"2023/01/19 08:00","2021/12/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2022 Jan FINAL","Sheet3",,,"2023/01/19 08:00","2022/01/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2022 Feb FINAL","Sheet3",,,"2023/01/19 08:00","2022/02/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2022 Mar FINAL","Sheet3",,,"2023/01/19 08:00","2022/03/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2022 Apr FINAL","Sheet3",,,"2023/01/19 08:00","2022/04/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2022 May FINAL","Sheet3",,,"2022/06/01 08:00","2022/05/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2022 June FINAL","Sheet3",,,"2022/07/01 08:00","2022/06/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2022 July FINAL","Sheet3",,,"2022/08/01 08:00","2022/07/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2022 Aug FINAL","Sheet3",,,"2022/09/01 08:00","2022/08/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2022 Sept FINAL","Sheet3",,,"2022/10/01 08:00","2022/09/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2022 Oct","Sheet3",,,"2023/01/19 08:00","2022/10/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2022_Nov","Sheet3",,,"2023/01/11 08:00","2022/11/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2022_Dec","Sheet3",,,"2023/01/11 08:00","2022/12/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2023_Jan new v2","Sheet3",,,"2023/04/14 08:00","2023/01/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2023_FEB_updated Mar21 v2","Sheet3",,,"2023/03/21 08:00","2023/02/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2023_Mar updated Apr14","Sheet3",,,"2023/04/14 08:00","2023/03/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2023_Apr","Sheet3",,,"2023/05/05 08:00","2023/04/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2023_May","Sheet3",,,"2023/06/01 08:00","2023/05/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2023_June","Sheet3",,,"2023/07/10 08:00","2023/06/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2023_July","Sheet3",,,"2023/08/11 08:00","2023/07/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2023_Aug_FIXED_10-18-23","Sheet3",,,"2023/10/18 08:00","2023/08/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _Sept_2023_FIXED","Sheet3",,,"2023/10/06 08:00","2023/09/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _Oct_2023","Sheet3",,,"2023/11/03 08:00","2023/10/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _Nov_2023_FIXED","Sheet3",,,"2023/12/04 08:00","2023/11/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _Dec_2023","Sheet3",,,"2024/01/08 08:00","2023/12/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"WorkBC LMS _JAN_2024","Sheet3",,,"2024/02/22 08:00","2024/01/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"WorkBC LMS _FEB_2024","Sheet3",,,"2024/03/13 08:00","2024/02/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"WorkBC LMS Mar_2024- FINAL","Sheet3",,,"2024/04/29 08:00","2024/03/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"WorkBC LMS Apr_2024","Sheet3",,,"2024/05/13 08:00","2024/04/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"WorkBC LMS May_2024","Sheet3",,,"2024/06/19 08:00","2024/05/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"WorkBC LMS June_2024","Sheet3",,,"2024/07/05 08:00","2024/06/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"WorkBC LMS July_2024","Sheet3",,,"2024/08/12 08:00","2024/07/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"WorkBC LMS Aug_2024_V2_0","Sheet3",,,"2024/12/10 14:47","2024/08/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"WorkBC LMS Oct_2024","Sheet3",,,"2024/12/11 14:55","2024/10/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"WorkBC LMS Nov_2024","Sheet3",,,"2024/12/11 14:56","2024/11/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"WorkBC LMS Sep_2024","Sheet3",,,"2024/12/11 22:56","2024/09/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"WorkBC LMS Dec_2024 v2","Sheet3",,,"2025/01/13 11:03","2024/12/01 08:00"
