0,"Legislative and senior management occupations","This broad category comprises legislators and senior management occupations.","Membres des corps législatifs et cadres supérieurs/cadres supérieures","Cette grande catégorie comprend les membres de corps législatifs et les cadres supérieurs.",1,,,0
50,"Specialized middle management occupations in art, culture, recreation and sport","This major group comprises specialized middle management occupations in art, culture, recreation and sport. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 0. The occupations classified under TEER 0, as those included in this group with zero (0) as the second digit of their code, are considered management occupations.","Cadres intermédiaires spécialisés / cadres intermédiaires spécialisées des arts, de la culture, des sports et des loisirs","Ce grand groupe comprend les cadres intermédiaires spécialisés/cadres intermédiaires spécialisées des arts, de la culture, des sports et des loisirs. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion.",2,0,5,05
60,"Middle management occupations in retail and wholesale trade and customer services","This major group comprises middle management occupations in retail and wholesale trade and customer services. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 0. The occupations classified under TEER 0, as those included in this group with zero (0) as the second digit of their code, are considered management occupations.","Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle","Ce grand groupe comprend les cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion.",2,0,6,06
70,"Middle management occupations in trades and transportation","This major group comprises middle management occupations in trades and transportation. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 0. The occupations classified under TEER 0, as those included in this group with zero (0) as the second digit of their code, are considered management occupations.","Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique","Ce grand groupe comprend les cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion.",2,0,7,07
80,"Middle management occupations in production and agriculture","This major group comprises middle management occupations in production and agriculture. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 0. The occupations classified under TEER 0, as those included in this group with zero (0) as the second digit of their code, are considered management occupations.","Cadres intermédiaires de la production et de l'agriculture","Ce grand groupe comprend les cadres intermédiaires de la production et de l'agriculture. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion.",2,0,8,08
90,"Middle management occupations in manufacturing and utilities","This major group comprises middle management occupations in manufacturing and utilities. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 0. The occupations classified under TEER 0, as those included in this group with zero (0) as the second digit of their code, are considered management occupations.","Cadres intermédiaires de la fabrication et des services d'utilité publique","Ce grand groupe comprend les cadres intermédiaires de la fabrication et des services d'utilité publique. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion.",2,0,9,09
10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","This major group comprises specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting). These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 0. The occupations classified under TEER 0, as those included in this group with zero (0) as the second digit of their code, are considered management occupations.","Cadres intermédiaires spécialisés / spécialisées des services administratifs, services financiers et des services aux entreprises et services de communications (sauf la radiotélédiffusion)","Ce grand groupe comprend le personnel d'encadrement intermédiaire spécialisé dans les services administratifs, les services financiers et commerciaux et la communication (sauf la radiodiffusion). Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion.",2,0,1,11
11,"Professional occupations in finance and business","This major group comprises professional occupations in finance and business. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 1. Occupations classified in TEER 1, as those in this group with a 1 as the second digit of their code, typically require a university degree (bachelor's, master's or doctorate) or the accumulation of several years of experience and expertise in the subject matter knowledge in a related occupation found in TEER 2 (which includes occupations with a 2 as a second digit in their code).","Personnel professionnel en finance et en gestion des affaires","Ce grand groupe comprend le personnel professionnel en finance et en gestion des affaires. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 1. Les professions du FEER 1, comme celles incluses dans ce grand groupe avec 1 comme deuxième chiffre dans leur code, exigent généralement un diplôme universitaire (baccalauréat, maîtrise ou doctorat) ou l'accumulation de plusieurs années d'expérience et d'expertise dans la connaissance du sujet matière dans une profession connexe trouvée dans FEER 2 (qui inclut des professions avec 2 comme deuxième chiffre dans leur code).",2,1,1,
64,"Sales and service representatives and other customer and personal services occupations","This major group comprises sales and service representatives and other customer and personal services occupations. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 4. Occupations classified in TEER 4, as those included in this group with a 4 as the second digit of their code, typically require completion of secondary school; or several weeks of on-the-job training with some secondary school education; or experience in a related occupation from TEER 5, when applicable (TEER 5 includes occupations with a 5 as a second digit in their code).","Représentants / représentantes des ventes et du service et autres professions des services à la clientèle et personnels","Ce grand groupe comprend les représentants/représentantes des ventes et du service et autres professions des services à la clientèle et personnels. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 4. Les professions du FEER 4, comme celles incluses dans ce grand groupe avec 4 comme deuxième chiffre dans leur code, exigent généralement l'achèvement des études secondaires; ou plusieurs semaines de formation en cours d'emploi avec des études secondaires partielles; ou de l'expérience liée aux professions du FEER 5, le cas échéant (FEER 5 inclut des professions avec 5 comme deuxième chiffre dans leur code).",2,4,6,
10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","This major group comprises specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting). These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 0. The occupations classified under TEER 0, as those included in this group with zero (0) as the second digit of their code, are considered management occupations.","Cadres intermédiaires spécialisés / spécialisées des services administratifs, services financiers et des services aux entreprises et services de communications (sauf la radiotélédiffusion)","Ce grand groupe comprend le personnel d'encadrement intermédiaire spécialisé dans les services administratifs, les services financiers et commerciaux et la communication (sauf la radiodiffusion). Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion.",2,0,1,12
12,"Administrative and financial supervisors and specialized administrative occupations","This major group comprises administrative and financial supervisors; specialized administrative occupations; and accounting, insurance and related business administrative occupations. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 2. Occupations classified in TEER 2, as those in this group with a 2 as the second digit of their code, typically require completion of a post-secondary education program of two to three years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of two to five years; or supervisory or significant safety responsibilities; or the accumulation of several years of experience and expertise in the subject matter knowledge in a related occupation found in TEER 3, when applicable (TEER 3 includes occupations with a 3 as a second digit in their code).","Personnel de supervision du travail administratif et financier et personnel administratif spécialisés","Ce grand groupe comprend le personnel de supervision du travail administratif et financier; le personnel administratif spécialisés; et le personnel en comptabilité, assurance et personnel assimilé en administration des affaires. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 2. Les professions du FEER 2, comme celles inclues dans ce grand groupe avec 2 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de deux à trois ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de deux à cinq ans; ou des responsabilités de supervision ou des responsabilités importantes en matières de sécurité; ou l'accumulation de plusieurs années d'expérience et d'expertise dans la connaissance du sujet matière dans une profession connexe trouvée dans FEER 3, le cas échéant (FEER 3 inclut des professions avec 3 comme deuxième chiffre dans leur code).",2,2,1,
13,"Administrative occupations and transportation logistics occupations","This major group comprises administrative occupations, transportation and production logistics coordinators and customs brokers, and related broker occupations. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 3. Occupations classified in TEER 3, as those included in this group with a 3 as the second digit of their code, typically require completion of a post-secondary education program of less than two years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of less than two years; or more than six months of on-the-job training, training courses or specific work experience with some secondary school education; or the accumulation of several years of experience in a related occupation found in TEER 4, when applicable (TEER 4 includes occupations with a 4 as a second digit in their code).","Personnel administratif et personnel de la logistique du transport","Ce grand groupe comprend le personnel administratif, les coordonnateur/coordonnatrice de la logistique de la production et du transport et courtiers/courtières en douanes, et les autres professions de courtiers/courtières. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 3. Les professions du FEER 3, comme celles incluses dans ce grand groupe avec 3 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de moins de deux ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de moins de deux ans; ou de la formation en cours d'emploi, cours de formation ou expérience de travail particulière de plus de six mois ou des études secondaires partielles; ou l'accumulation de plusieurs années d'expérience d'une profession connexe trouvée dans FEER 4, le cas échéant (FEER 4 inclut des professions avec 4 comme deuxième chiffre dans leur code).",2,3,1,
14,"Administrative and financial support and supply chain logistics occupations","This major group comprises administrative and financial support and supply chain logistics occupations, including office support and data entry occupations; financial, insurance and related administrative support workers; library, correspondence and other clerks, and supply chain logistics, tracking and scheduling coordination occupations. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 4. Occupations classified in TEER 4, as those included in this group with a 4 as the second digit of their code, typically require completion of secondary school; or several weeks of on-the-job training with some secondary school education; or experience in a related occupation from TEER 5, when applicable (TEER 5 includes occupations with a 5 as a second digit in their code).","Personnel de soutien administratif et finance et en logistiques de chaîne d'approvisionnement","Ce grand groupe comprend le personnel de soutien de bureau et de soutien administratif, y compris le personnel de soutien de bureau et de la saisie de données; le personnel de soutien administratif dans la finance, les assurances et le personnel de soutien administratif assimilé; les commis de bibliothèque, de correspondance et autres commis, et le personnel en logistique de chaîne d'approvisionnement, en suivi et en coordination d'horaires. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 4. Les professions du FEER 4, comme celles incluses dans ce grand groupe avec 4 comme deuxième chiffre dans leur code, exigent généralement l'achèvement des études secondaires; ou plusieurs semaines de formation en cours d'emploi avec des études secondaires partielles; ou de l'expérience liée aux professions du FEER 5, le cas échéant (FEER 5 inclut des professions avec 5 comme deuxième chiffre dans leur code).",2,4,1,
42,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services","This major group comprises front-line public protection services and paraprofessional occupations in legal, social, community, education services. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 2. Occupations classified in TEER 2, as those included in this group with a 2 as the second digit of their code, typically require completion of a post-secondary education program of two to three years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of two to five years; or supervisory or significant safety responsibilities; or the accumulation of several years of experience in a related occupation found in TEER 3, when applicable (TEER 3 includes occupations with a 3 as a second digit in their code).","Services de protection publique de première ligne et personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement","Ce grand groupe comprend les services de protection publique de première ligne et le personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 2. Les professions du FEER 2, comme celles incluses dans ce grand groupe avec 2 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de deux à trois ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de deux à cinq ans; ou des responsabilités de supervision ou des responsabilités importantes en matières de sécurité; ou l'accumulation de plusieurs années d'expérience dans une profession connexe trouvée dans FEER 3, le cas échéant (FEER 3 inclut des professions avec 3 comme deuxième chiffre dans leur code).",2,2,4,
