"NOC_ID","NOCCode","NameEnglish","NameFrench","EnglishShortAlias","NOCS2006","NOCGroupTypeID","ParentNOC_ID","NOCYear","NOC_ID2006","TradesOutlookNOC","SkillLevel"
48,"062",Managers in Retail Trade,Directeurs/directrices - commerce de détail,,A21,3,45,2006,,,
49,"0621",Retail and wholesale trade managers,Directeurs/directrices - commerce de détail et de gros,,A211,4,48,2006,,,
50,"063",Managers in Food Service and Accommodation,Directeurs/directrices de la restauration et des services d'hébergement,,A22,3,45,2006,,,
51,"0631",Restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,,A221,4,50,2006,,,
52,"0632",Accommodation service managers,Directeurs/directrices des services d'hébergement,,A222,4,50,2006,,,
53,"064",Managers in Protective Service,Directeurs/directrices des services de protection,,A35,3,45,2006,,,
54,"0641",Commissioned Police Officers,Officiers/officières de direction des services de police,,A351,4,53,2006,,,
55,"0642",Fire Chiefs and Senior Firefighting Officers,Chefs et officiers supérieurs/officières supérieures des services d'incendie,,A352,4,53,2006,,,
56,"0643","Commissioned Officers, Armed Forces",Officiers/officières de direction des Forces armées,,A353,4,53,2006,,,
57,"065",Managers in Other Services,Directeurs/directrices d'autres services,,A36,3,45,2006,,,
58,"0651","Managers in customer and personal services, n.e.c.","Directeurs/directrices du service à la clientèle et des services personnels, n.c.a.",,A361,4,57,2006,,,
59,"07",Middle and Other Management Occupations,Cadres intermédiaires et autre personnel de gestion,,,2,1,2006,,,
60,"071",Managers in Construction and Transportation,Directeurs/directrices de la construction et du transport,,A37,3,59,2006,,,
61,"0711",Construction managers,Directeurs/directrices de la construction,,A371,4,60,2006,,,
62,"0712",Home building and renovation managers,Gestionnaires en construction et rénovation domiciliaire,,A372,4,60,2006,,,
63,"0713",Transportation Managers,Directeurs/directrices des transports,,A373,4,60,2006,,,
64,"072",Facility Operation and Maintenance Managers,Directeurs/directrices de l'exploitation et de l'entretien d'immeubles,,A14,3,59,2006,,,
65,"0721",Facility Operation and Maintenance Managers,Directeurs/directrices de l'exploitation et de l'entretien d'immeubles,,A141,4,64,2006,,,
66,"08",Middle and Other Management Occupations,Cadres intermédiaires et autre personnel de gestion,,,2,1,2006,,,
67,"081",Managers in Primary Production (Except Agriculture),Directeurs/directrices de la production primaire (sauf l'agriculture),,A38,3,66,2006,,,
68,"0811",Managers in natural resources production and fishing,Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche,,A381,4,67,2006,,,
69,"09",Middle and Other Management Occupations,Cadres intermédiaires et autre personnel de gestion,,,2,1,2006,,,
70,"091",Managers in Manufacturing and Utilities,Directeurs/directrices de la fabrication et des services d'utilité publique,,A39,3,69,2006,,,
71,"0911",Manufacturing managers,Directeurs/directrices de la fabrication,,A391,4,70,2006,,,
72,"0912",Utilities managers,Directeurs/directrices des services d'utilité publique,,A392,4,70,2006,,,
73,"1","Business, finance and administration occupations","Affaires, finance et administration",,,1,,2006,,,
74,"11",Professional Occupations in Business and Finance,Personnel professionnel en gestion des affaires et en finance,,,2,73,2006,,,
75,"111","Auditors, Accountants and Investment Professionals","Professionnels/professionnelles en finance, en vérification et en comptabilité",,B01,3,74,2006,,,
76,"1111",Financial auditors and accountants,Vérificateurs/vérificatrices et comptables,,B011,4,75,2006,,,
77,"1112",Financial and investment analysts,Analystes financiers/analystes financières et analystes en placements,,B012,4,75,2006,,,
78,"1113","Securities agents, investment dealers and brokers","Agents/agentes en valeurs, agents/agentes en placements et négociateurs/négociatrices en valeurs",,B013,4,75,2006,,,
79,"1114",Other financial officers,Autres agents financiers/agentes financières,,B014,4,75,2006,,,
80,"112",Human Resources and Business Service Professionals,Professionnels/professionnelles en gestion des ressources humaines et en services aux entreprises,,B02,3,74,2006,,,
81,"1121",Human resources professionals,Professionnels/professionnelles en ressources humaines,,B021,4,80,2006,,,
82,"1122",Professional occupations in business management consulting,Professionnels/professionnelles des services-conseils en gestion aux entreprises,,B022,4,80,2006,,,
83,"12",Skilled Administrative and Business Occupations,Personnel spécialisé en administration et en travail de bureau,,,2,73,2006,,,
84,"121",Clerical Supervisors,Personnel de supervision du travail de bureau,,B41,3,83,2006,,,
85,"1211","Supervisors, general office and administrative support workers",Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif,,B411,4,84,2006,,,
86,"1212","Supervisors, finance and insurance office workers",Superviseurs/superviseures de commis de finance et d'assurance,,B412,4,84,2006,,,
87,"1213","Supervisors, library, correspondence and related information workers","Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",,B413,4,84,2006,,,
88,"1214","Supervisors, mail and message distribution occupations",Superviseurs/superviseures de services postaux et de messageries,,B414,4,84,2006,,,
89,"1215","Supervisors, supply chain, tracking and scheduling co-ordination occupations","Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",,B415,4,84,2006,,,
90,"122",Administrative and Regulatory Occupations,Personnel administratif et de réglementation,,B31,3,83,2006,,,
91,"1221",Administrative officers,Agents/agentes d'administration,,B311,4,90,2006,,,
92,"1222",Executive assistants,Adjoints/adjointes de direction,,B312,4,90,2006,,,
93,"1223",Human resources and recruitment officers,Agents/agentes des ressources humaines et de recrutement,,B313,4,90,2006,,,
94,"1224",Property administrators,Agents/agentes de gestion immobilière,,B314,4,90,2006,,,
95,"1225",Purchasing agents and officers,Agents/agentes aux achats,,B315,4,90,2006,,,
96,"1226",Conference and event planners,Planificateurs/planificatrices de congrès et d'événements,,B316,4,90,2006,,,
97,"1227",Court officers and justices of the peace,Juges de paix et officiers/officières de justice,,B317,4,90,2006,,,
98,"1228","Employment insurance, immigration, border services and revenue officers","Agents/agentes d'assurance-emploi, d'immigration, de services frontaliers et du revenu",,B318,4,90,2006,,,
99,"123",Finance and Insurance Administrative Occupations,Personnel d'administration des finances et des assurances,,B11,3,83,2006,,,
100,"1231",Bookkeepers,Teneurs/teneuses de livres,,B111,4,99,2006,,,
101,"1232",Loan Officers,Agents/agentes de prêts,,B112,4,99,2006,,,
102,"1233",Insurance Adjusters and Claims Examiners,Experts/expertes en sinistres et rédacteurs/rédactrices sinistres,,B113,4,99,2006,,,
103,"1234",Insurance Underwriters,Assureurs/assureures,,B114,4,99,2006,,,
104,"1235","Assessors, Valuators and Appraisers",Estimateurs/estimatrices et évaluateurs/évaluatrices,,B115,4,99,2006,,,
105,"1236","Customs, Ship and Other Brokers","Courtiers/courtières en douanes, courtiers/courtières maritimes et autres courtiers/courtières",,B116,4,99,2006,,,
106,"124","Secretaries, Recorders and Transcriptionists",Personnel en secrétariat,,B21,3,83,2006,,,
107,"1241",Administrative assistants,Adjoints administratifs/adjointes administratives,,B211,4,106,2006,,,
108,"1242",Legal administrative assistants,Adjoints administratifs juridiques/adjointes administratives juridiques,,B212,4,106,2006,,,
109,"1243",Medical administrative assistants,Adjoints administratifs médicaux/adjointes administratives médicales,,B213,4,106,2006,,,
110,"1244",Court Recorders and Medical Transcriptionists,Rapporteurs/rapporteuses judiciaires et transcripteurs médicaux/transcriptrices médicales,,B214,4,106,2006,,,
111,"14",Clerical Occupations,Personnel de bureau,,,2,73,2006,,,
112,"141","Clerical Occupations, General Office Skills",Commis au travail général de bureau,,B51,3,111,2006,,,
113,"1411",General office support workers,Employés de soutien de bureau généraux/employées de soutien de bureau générales,,B511,4,112,2006,,,
114,"1413",Records Management and Filing Clerks,Commis au classement et à la gestion des documents,,B513,4,112,2006,,,
115,"1414",Receptionists,Réceptionnistes,,B514,4,112,2006,,,
116,"142",Office Equipment Operators,Commis en bureautique et en éditique,,B52,3,111,2006,,,
117,"1422",Data entry clerks,Commis à la saisie de données,,B522,4,116,2006,,,
118,"1423",Desktop publishing operators and related occupations,Opérateurs/opératrices d'équipement d'éditique et personnel assimilé,,B523,4,116,2006,,,
119,"1424",Telephone Operators,Téléphonistes,,B524,4,116,2006,,,
120,"143",Finance and Insurance Clerks,Commis des finances et de l'assurance,,B53,3,111,2006,,,
121,"1431",Accounting and related clerks,Commis à la comptabilité et personnel assimilé,,B531,4,120,2006,,,
122,"1432",Payroll administrators,Administrateurs/administratrices de la paye,,B532,4,120,2006,,,
123,"1433",Customer Service Representatives - Financial Services,Représentants/représentantes au service à la clientèle - services financiers,,B533,4,120,2006,,,
124,"1434","Banking, insurance and other financial clerks","Commis de banque, d'assurance et d'autres services financiers",,B534,4,120,2006,,,
125,"1435",Collectors,Agents/agentes de recouvrement,,B535,4,120,2006,,,
126,"144",Administrative Support Clerks,Commis de soutien administratif,,B54,3,111,2006,,,
127,"1441",Administrative Clerks,Commis de soutien administratif,,B541,4,126,2006,,,
128,"1442",Personnel Clerks,Commis des services du personnel,,B542,4,126,2006,,,
129,"1443",Court Clerks,Commis des services judiciaires,,B543,4,126,2006,,,
130,"145","Library, Correspondence and Related Information Clerks","Commis de bibliothèque, de correspondance et à l'information",,B55,3,111,2006,,,
131,"1451",Library assistants and clerks,Commis et assistants/assistantes dans les bibliothèques,,B551,4,130,2006,,,
132,"1452","Correspondence, publication and regulatory clerks",Correspondanciers/correspondancières et commis aux publications et aux règlements,,B552,4,130,2006,,,
133,"1453","Customer Service, Information and Related Clerks","Commis aux services à la clientèle, commis à l'information et personnel assimilé",,B553,4,130,2006,,,
134,"1454",Survey interviewers and statistical clerks,Intervieweurs/intervieweuses pour enquêtes et commis aux statistiques,,B554,4,130,2006,,,
135,"146",Mail and Message Distribution Occupations,Commis des services postaux et de messageries,,B56,3,111,2006,,,
136,"1461","Mail, Postal and Related Clerks",Commis au courrier et aux services postaux et personnel assimilé,,B561,4,135,2006,,,
137,"1462",Letter Carriers,Facteurs/factrices,,B562,4,135,2006,,,
138,"1463","Couriers, Messengers and Door-to-Door Distributors",Messagers/messagères et distributeurs/distributrices porte-à-porte,,B563,4,135,2006,,,
139,"147","Recording, Scheduling and Distributing Occupations",Commis à l'expédition et à la distribution,,B57,3,111,2006,,,
140,"1471",Shippers and Receivers,Expéditeurs/expéditrices et réceptionnaires,,B571,4,139,2006,,,
141,"1472",Storekeepers and Parts Clerks,Magasiniers/magasinières et commis aux pièces,,B572,4,139,2006,,,
142,"1473",Production Clerks,Commis à la production,,B573,4,139,2006,,,
143,"1474",Purchasing and Inventory Clerks,Commis aux achats et à l'inventaire,,B574,4,139,2006,,,
144,"1475",Dispatchers and Radio Operators,Répartiteurs/répartitrices et opérateurs radio/opératrices radio,,B575,4,139,2006,,,
145,"1476",Transportation Route and Crew Schedulers,Horairistes de trajets et préposés/préposées à l'affectation des équipages,,B576,4,139,2006,,,
146,"2",Natural and Applied Sciences and Related Occupations,Sciences naturelles et appliquées et domaines apparentés,,,1,,2006,,,
147,"21",Professional Occupations in Natural and Applied Sciences,Personnel professionnel des sciences naturelles et appliquées,,,2,146,2006,,,
148,"211",Physical Science Professionals,Professionnels/professionnelles des sciences physiques,,C01,3,147,2006,,,
149,"2111",Physicists and astronomers,Physiciens/physiciennes et astronomes,,C011,4,148,2006,,,
150,"2112",Chemists,Chimistes,,C012,4,148,2006,,,
151,"2113",Geoscientists and oceanographers,Géoscientifiques et océanographes,,C013,4,148,2006,,,
152,"2114",Meteorologists and climatologists,Météorologues et climatologues,,C014,4,148,2006,,,
153,"2115",Other professional occupations in physical sciences,Autres professionnels/professionnelles des sciences physiques,,C015,4,148,2006,,,
154,"212",Life Science Professionals,Professionnels/professionnelles des sciences de la vie,,C02,3,147,2006,,,
155,"2121",Biologists and related scientists,Biologistes et personnel scientifique assimilé,,C021,4,154,2006,,,
156,"2122",Forestry professionals,Professionnels/professionnelles des sciences forestières,,C022,4,154,2006,,,
157,"2123","Agricultural representatives, consultants and specialists","Agronomes, conseillers/conseillères et spécialistes en agriculture",,C023,4,154,2006,,,
158,"213","Civil, Mechanical, Electrical and Chemical Engineers","Professionnels/professionnelles en génie civil, mécanique, électrique et chimique",,C03,3,147,2006,,,
159,"2131",Civil engineers,Ingénieurs civils/ingénieures civiles,,C031,4,158,2006,,,
160,"2132",Mechanical engineers,Ingénieurs mécaniciens/ingénieures mécaniciennes,,C032,4,158,2006,,,
161,"2133",Electrical and electronics engineers,Ingénieurs électriciens et électroniciens/ingénieures électriciennes et électroniciennes,,C033,4,158,2006,,,
162,"2134",Chemical engineers,Ingénieurs chimistes/ingénieures chimistes,,C034,4,158,2006,,,
163,"214",Other Engineers,Autres professionnels/professionnelles en génie,,C04,3,147,2006,,,
164,"2141",Industrial and manufacturing engineers,Ingénieurs/ingénieures d'industrie et de fabrication,,C041,4,163,2006,,,
165,"2142",Metallurgical and materials engineers,Ingénieurs/ingénieures métallurgistes et des matériaux,,C042,4,163,2006,,,
166,"2143",Mining engineers,Ingénieurs miniers/ingénieures minières,,C043,4,163,2006,,,
167,"2144",Geological engineers,Ingénieurs géologues/ingénieures géologues,,C044,4,163,2006,,,
168,"2145",Petroleum engineers,Ingénieurs/ingénieures de l'extraction et du raffinage du pétrole,,C045,4,163,2006,,,
169,"2146",Aerospace engineers,Ingénieurs/ingénieures en aérospatiale,,C046,4,163,2006,,,
170,"2147",Computer engineers (except software engineers and designers),Ingénieurs informaticiens/ingénieures informaticiennes (sauf ingénieurs/ingénieures et concepteurs/conceptrices en logiciel),,C047,4,163,2006,,,
171,"2148","Other professional engineers, n.e.c.","Autres ingénieurs/ingénieures, n.c.a.",,C048,4,163,2006,,,
172,"215","Architects, Urban Planners and Land Surveyors","Professionnels/professionnelles en architecture, en urbanisme et en arpentage",,C05,3,147,2006,,,
173,"2151",Architects,Architectes,,C051,4,172,2006,,,
174,"2152",Landscape architects,Architectes paysagistes,,C052,4,172,2006,,,
175,"2153",Urban and land use planners,Urbanistes et planificateurs/planificatrices de l'utilisation des sols,,C053,4,172,2006,,,
176,"2154",Land surveyors,Arpenteurs-géomètres/arpenteuses-géomètres,,C054,4,172,2006,,,
177,"216","Mathematicians, Statisticians and Actuaries","Mathématiciens/mathématiciennes, statisticiens/statisticiennes et actuaires",,C06,3,147,2006,,,
178,"2161","Mathematicians, statisticians and actuaries","Mathématiciens/mathématiciennes, statisticiens/statisticiennes et actuaires",,C061,4,177,2006,,,
179,"217",Computer and Information Systems Professionals,Professionnels/professionnelles en informatique,,C07,3,147,2006,,,
180,"2171",Information systems analysts and consultants,Analystes et consultants/consultantes en informatique,,C071,4,179,2006,,,
181,"2172",Database analysts and data administrators,Analystes de bases de données et administrateurs/administratrices de données,,C072,4,179,2006,,,
182,"2173",Software engineers and designers,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel,,C073,4,179,2006,,,
183,"2174",Computer programmers and interactive media developers,Programmeurs/programmeuses et développeurs/développeuses en médias interactifs,,C074,4,179,2006,,,
184,"2175",Web designers and developers,Concepteurs/conceptrices et développeurs/développeuses Web,,C075,4,179,2006,,,
185,"22",Technical Occupations Related to Natural and Applied Sciences,Personnel technique relié aux sciences naturelles et appliquées,,,2,146,2006,,,
186,"221",Technical Occupations in Physical Sciences,Personnel technique des sciences physiques,,C11,3,185,2006,,,
187,"2211",Chemical technologists and technicians,Technologues et techniciens/techniciennes en chimie,,C111,4,186,2006,,,
188,"2212",Geological and mineral technologists and technicians,Technologues et techniciens/techniciennes en géologie et en minéralogie,,C112,4,186,2006,,,
189,"2213",Meteorological Technicians,Techniciens/techniciennes en météorologie,,C113,4,186,2006,,,
190,"222",Technical Occupations in Life Sciences,Personnel technique des sciences de la vie,,C12,3,185,2006,,,
191,"2221",Biological technologists and technicians,Technologues et techniciens/techniciennes en biologie,,C121,4,190,2006,,,
192,"2222",Agricultural and fish products inspectors,Inspecteurs/inspectrices des produits agricoles et de la pêche,,C122,4,190,2006,,,
193,"2223",Forestry technologists and technicians,Technologues et techniciens/techniciennes en sciences forestières,,C123,4,190,2006,,,
194,"2224",Conservation and fishery officers,Techniciens/techniciennes du milieu naturel et de la pêche,,C124,4,190,2006,,,
195,"2225",Landscape and horticulture technicians and specialists,Techniciens/techniciennes et spécialistes de l'aménagement paysager et de l'horticulture,,C125,4,190,2006,,,
196,"223","Technical Occupations in Civil, Mechanical and Industrial Engineering","Personnel technique en génie civil, mécanique et industriel",,C13,3,185,2006,,,
197,"2231",Civil engineering technologists and technicians,Technologues et techniciens/techniciennes en génie civil,,C131,4,196,2006,,,
198,"2232",Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique,,C132,4,196,2006,,,
199,"2233",Industrial engineering and manufacturing technologists and technicians,Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication,,C133,4,196,2006,,,
200,"2234",Construction estimators,Estimateurs/estimatrices en construction,,C134,4,196,2006,,,
201,"224",Technical Occupations in Electronics and Electrical Engineering,Personnel technique en génie électronique et électrique,,C14,3,185,2006,,,
202,"2241",Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électronique et électrique,,C141,4,201,2006,,,
203,"2242",Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux),,C142,4,201,2006,,,
204,"2243",Industrial instrument technicians and mechanics,Techniciens/techniciennes et mécaniciens/mécaniciennes d'instruments industriels,,C143,4,201,2006,,,
205,"2244","Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","Mécaniciens/mécaniciennes, techniciens/techniciennes et contrôleurs/contrôleuses d'avionique et d'instruments et d'appareillages électriques d'aéronefs",,C144,4,201,2006,,,
206,"225","Technical Occupations in Architecture, Drafting, Surveying and Mapping","Personnel technique en architecture, en dessin, en arpentage et en cartographie",,C15,3,185,2006,,,
207,"2251",Architectural technologists and technicians,Technologues et techniciens/techniciennes en architecture,,C151,4,206,2006,,,
208,"2252",Industrial designers,Designers industriels/designers industrielles,,C152,4,206,2006,,,
209,"2253",Drafting technologists and technicians,Technologues et techniciens/techniciennes en dessin,,C153,4,206,2006,,,
210,"2254",Land survey technologists and technicians,Technologues et techniciens/techniciennes en arpentage,,C154,4,206,2006,,,
211,"2255",Technical occupations in geomatics and meteorology,Personnel technique en géomatique et en météorologie,,C155,4,206,2006,,,
212,"226",Other Technical Inspectors and Regulatory Officers,Autres contrôleurs/contrôleuses techniques et officiers/officières de réglementation,,C16,3,185,2006,,,
213,"2261",Non-destructive testers and inspection technicians,Vérificateurs/vérificatrices et essayeurs/essayeuses des essais non destructifs,,C161,4,212,2006,,,
214,"2262",Engineering inspectors and regulatory officers,Inspecteurs/inspectrices d'ingénierie et officiers/officières de réglementation,,C162,4,212,2006,,,
215,"2263",Inspectors in public and environmental health and occupational health and safety,"Inspecteurs/inspectrices de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail",,C163,4,212,2006,,,
216,"2264",Construction inspectors,Inspecteurs/inspectrices en construction,,C164,4,212,2006,,,
217,"227",Transportation Officers and Controllers,Officiers/officières et contrôleurs/contrôleuses des services de transport,,C17,3,185,2006,,,
218,"2271","Air pilots, flight engineers and flying instructors","Pilotes, navigateurs/navigatrices et instructeurs/instructrices de pilotage du transport aérien",,C171,4,217,2006,,,
219,"2272",Air traffic controllers and related occupations,Contrôleurs aériens/contrôleuses aériennes et personnel assimilé,,C172,4,217,2006,,,
220,"2273","Deck officers, water transport",Officiers/officières de pont du transport par voies navigables,,C173,4,217,2006,,,
221,"2274","Engineer officers, water transport",Officiers mécaniciens/officières mécaniciennes du transport par voies navigables,,C174,4,217,2006,,,
222,"2275",Railway traffic controllers and marine traffic regulators,Contrôleurs/contrôleuses de la circulation ferroviaire et régulateurs/régulatrices de la circulation maritime,,C175,4,217,2006,,,
223,"228",Technical Occupations in Computer and Information Systems,Personnel technique en informatique,,C18,3,185,2006,,,
224,"2281",Computer network technicians,Techniciens/techniciennes de réseau informatique,,C181,4,223,2006,,,
225,"2282",User support technicians,Agents/agentes de soutien aux utilisateurs,,C182,4,223,2006,,,
226,"2283",Information systems testing technicians,Évaluateurs/évaluatrices de systèmes informatiques,,C183,4,223,2006,,,
227,"3",Health occupations,Secteur de la santé,,,1,,2006,,,
228,"31",Professional Occupations in Health,Personnel professionnel des soins de santé,,,2,227,2006,,,
229,"311","Physicians, Dentists and Veterinarians","Médecins, dentistes et vétérinaires",,D01,3,228,2006,,,
230,"3111",Specialist physicians,Médecins spécialistes,,D011,4,229,2006,,,
231,"3112",General practitioners and family physicians,Omnipraticiens/omnipraticiennes et médecins en médecine familiale,,D012,4,229,2006,,,
232,"3113",Dentists,Dentistes,,D013,4,229,2006,,,
233,"3114",Veterinarians,Vétérinaires,,D014,4,229,2006,,,
234,"312","Optometrists, Chiropractors and Other Health Diagnosing and Treating Professionals","Optométristes, chiropraticiens/chiropraticiennes et autres professionnels/professionnelles en diagnostic et en traitement de la santé",,D02,3,228,2006,,,
235,"3121",Optometrists,Optométristes,,D021,4,234,2006,,,
236,"3122",Chiropractors,Chiropraticiens/chiropraticiennes,,D022,4,234,2006,,,
237,"3123",Other Professional Occupations in Health Diagnosing and Treating,Autres professionnels/professionnelles en diagnostic et en traitement de la santé,,D023,4,234,2006,,,
238,"313","Pharmacists, Dietitians and Nutritionists","Pharmaciens/pharmaciennes, diététistes et nutritionnistes",,D03,3,228,2006,,,
239,"3131",Pharmacists,Pharmaciens/pharmaciennes,,D031,4,238,2006,,,
240,"3132",Dietitians and nutritionists,Diététistes et nutritionnistes,,D032,4,238,2006,,,
241,"314",Therapy and Assessment Professionals,Professionnels/professionnelles en thérapie et en évaluation,,D04,3,228,2006,,,
242,"3141",Audiologists and speech-language pathologists,Audiologistes et orthophonistes,,D041,4,241,2006,,,
243,"3142",Physiotherapists,Physiothérapeutes,,D042,4,241,2006,,,
244,"3143",Occupational therapists,Ergothérapeutes,,D043,4,241,2006,,,
245,"3144",Other professional occupations in therapy and assessment,Autres professionnels/professionnelles en thérapie et en diagnostic,,D044,4,241,2006,,,
246,"315",Nurse Supervisors and Registered Nurses,Professionnels/professionnelles en sciences infirmières,,D11,3,228,2006,,,
247,"3151",Head Nurses and Supervisors,Infirmiers/infirmières en chef et superviseurs/superviseures,,D111,4,246,2006,,,
248,"3152",Registered Nurses,Infirmiers autorisés/infirmières autorisées,,D112,4,246,2006,,,
249,"32",Technical and Skilled Occupations in Health,Personnel technique et personnel spécialisé du secteur de la santé,,,2,227,2006,,,
