Niveau,Structure hiérarchique,Code dela CNP 2021 v1.0,Titres de classes,Définitions de la classe
1,Grande catégorie,1,"Affaires, finance et administration","Cette grande catégorie comprend les professions qui touchent le personnel d'encadrement intermédiaire spécialisé dans les services administratifs, les services financiers et commerciaux et la communication (sauf la radiodiffusion), ainsi que le personnel professionnel en finance et en gestion des affaires; le personnel de supervision du travail administratif et financier et personnel administratif spécialisé; le personnel administratif et personnel de la logistique du transport; et le personnel de soutien administratif et finance et en logistiques de chaîne d'approvisionnement."
2,Grand groupe,10,"Personnel d'encadrement intermédiaire spécialisé dans les services administratifs, les services financiers et commerciaux et la communication (sauf la radiodiffusion)","Ce grand groupe comprend le personnel d'encadrement intermédiaire spécialisé dans les services administratifs, les services financiers et commerciaux et la communication (sauf la radiodiffusion). Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion."
3,Sous-grand groupe,100,"Personnel d'encadrement intermédiaire spécialisé dans les services administratifs, les services financiers et commerciaux et la communication (sauf la radiodiffusion)","Ce sous-grand groupe comprend le personnel d'encadrement intermédiaire spécialisé dans les services administratifs, les services financiers et commerciaux et la communication (sauf la radiodiffusion)."
4,Sous-groupe,1001,Directeurs/directrices des services administratifs,"Ce sous-groupe comprend les directeurs/directrices des services administratifs, y compris les directeurs/directrices financiers, les directeurs/directrices des ressources humaines, les directeurs/directrices des achats et les directeurs/directrices d'autres services administratifs. Ils/elles travaillent dans l'ensemble des secteurs public et privé."
5,Groupe de base,10010,Directeurs financiers/directrices financières,"Les directeurs financiers planifient, organisent, dirigent, contrôlent et évaluent les opérations de services financiers et de comptabilité. Ils élaborent et mettent en oeuvre les procédures et les systèmes financiers d'un établissement. Ils fixent les normes de rendement et préparent divers rapports financiers pour la haute direction. Ils travaillent dans les services financiers et départements de comptabilité des entreprises et organismes des secteurs privé et public."
5,Groupe de base,10011,Directeurs/directrices des ressources humaines,"Les directeurs des ressources humaines planifient, organisent, dirigent, contrôlent et évaluent les activités d'un service des ressources humaines et du personnel. En outre, ils élaborent des politiques et mettent en oeuvre des programmes et des procédures en matière de planification des ressources humaines, de recrutement, de négociation des conventions collectives, de formation et de perfectionnement, de classification de postes et d'administration de la rémunération et des avantages sociaux. Ils représentent la direction et participent activement aux réunions des différents comités paritaires afin de veiller à gérer de façon continue les relations entre la direction et les employés. Ils travaillent dans les secteurs privé et public."
5,Groupe de base,10012,Directeurs/directrices des achats,"Les directeurs des achats planifient, organisent, dirigent, contrôlent et évaluent les activités d'un service des achats et élaborent et mettent en oeuvre les politiques d'achat d'une entreprise ou d'un établissement. Ils travaillent dans les secteurs public et privé."
5,Groupe de base,10019,Directeurs/directrices d'autres services administratifs,"Les directeurs d'autres services administratifs planifient, organisent, dirigent, contrôlent et évaluent les services d'une organisation qui sont responsables de l'exécution des politiques internes et de la conformité aux règlements, de la gestion des dossiers, des services de sécurité, des admissions et autres services administratifs. Ce groupe comprend aussi les directeurs responsables des services impliqués dans deux ou plus des activités suivantes : finances, ressources humaines, achats ou services administratifs. Ils travaillent dans les secteurs public et privé."
4,Sous-groupe,1002,Directeurs/directrices des services financiers et des services aux entreprises,"Ce sous-groupe comprend les directeurs/directrices des services financiers et des services aux entreprises, y compris les directeurs/directrices des assurances, de l'immobilier et du courtage financier; les directeurs/directrices de banque, du crédit et d'autres services de placements; les directeurs/directrices ainsi que les professionnels/professionnelles de la publicité, du marketing et des relations publiques; et les directeurs/directrices d'autres services aux entreprises.  Ils/elles travaillent pour des sociétés d'assurances, des agences immobilières, des courtiers en valeurs mobilières, des négociants en placements, des courtiers en hypothèques et des bourses de valeurs mobilières et de marchandises; de banques, des sociétés de fiducie et des coopératives de crédit; des services de crédit de grands magasins et d'autres organismes industriels ou commerciaux; des sociétés émettrices de carte de crédit, des sociétés de prêt à la consommation, des fonds communs de placement et de prêt hypothécaire et d'autres sociétés de prêt, de financement et de placement; des ministères et organismes gouvernementaux; des agences de publicité, de marketing et de relations publiques et des cabinets d'experts-conseils; et d'autres établissements offrant des services aux entreprises."
5,Groupe de base,10020,"Directeurs/directrices des assurances, de l'immobilier et du courtage financier","Les directeurs des assurances, de l'immobilier et du courtage financier planifient, organisent, dirigent, contrôlent et évaluent les activités d'entreprises ou d'établissements qui offrent des services en matière d'assurance, d'hypothèques, d'immobilier ou de valeurs mobilières. Ils sont généralement responsables du développement des affaires et doivent faire en sorte que leurs groupes atteignent un certain rendement par rapport aux objectifs fixés. Ils sont employés par des compagnies d'assurance, des agences immobilières, des courtiers en valeurs mobilières, en hypothèques, des négociants en placements et des négociants de produits de base."
5,Groupe de base,10021,"Directeurs/directrices de banque, du crédit et d'autres services de placements","Les directeurs de banque, du crédit et d'autres services de placements planifient, organisent, dirigent, contrôlent et évaluent les activités des établissements financiers ou les services opérationnels de ceux-ci, ou les services de crédit dans les établissements industriels ou commerciaux. Ils veillent au développement des affaires et gèrent la performance globale en fonction des orientations stratégiques et des politiques établies. Les directeurs de banque travaillent dans des banques, des sociétés de fiducie et des coopératives de crédit. Les directeurs du crédit travaillent dans le service de crédit des grands magasins, des services d'utilité publique, des concessionnaires automobiles, des compagnies d'assurances ou d'autres organismes industriels ou commerciaux. Les directeurs d'autres services de placements travaillent pour des sociétés émettrices de cartes de crédit, de prêts à la consommation, de fonds communs de placement, de placements hypothécaires ou d'autres institutions financières qui sont reliées aux prêts, au financement et aux placements."
5,Groupe de base,10022,"Directeurs/directrices de la publicité, du marketing et des relations publiques","Les directeurs de la publicité, du marketing, des relations publiques et des affaires électroniques planifient, organisent, dirigent, contrôlent et évaluent les activités d'établissements et de services voués à la publicité, au marketing et aux relations publiques dans les secteurs commerciaux, industriels et d'affaires électroniques. Ils travaillent dans des établissements commerciaux et industriels, la fonction publique, des agences de marketing, de publicité et de relations publiques, ou des cabinets d'experts-conseils."
5,Groupe de base,10029,Directeurs/directrices d'autres services aux entreprises,"Les directeurs d'autres services aux entreprises planifient, organisent, dirigent, contrôlent et évaluent les activités des établissements qui offrent des services aux entreprises, et s'assurent de la qualité des services offerts et de la satisfaction de leur clientèle. Ils travaillent, entre autres, dans des cabinets de conseils en gestion, des services d'étude de marché, des services de gestion du personnel et de paye, des services de centres de contact et des services de sécurité."
4,Sous-groupe,1003,Directeurs/directrices des services de communications (sauf la radiotélédiffusion),"Ce sous-groupe comprend les directeurs/directrices des services de communications autres que la radiotélédiffusion, y compris les directeurs/directrices d'entreprises de télécommunications. Ils/elles travaillent pour des services de télécommunication par câble, sans fil et par satellite et d'autres compagnies de télécommunications."
5,Groupe de base,10030,Directeurs/directrices d'entreprises de télécommunications,"Les directeurs d'entreprises de télécommunications planifient, organisent, dirigent, contrôlent et évaluent les opérations d'un établissement, d'un service ou d'une installation de télécommunications. Ils travaillent pour des services de télécommunication par câble, sans fil et par satellite et pour d'autres compagnies de télécommunications."
2,Grand groupe,11,Personnel professionnel en finance et en gestion des affaires,"Ce grand groupe comprend le personnel professionnel en finance et en gestion des affaires. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 1. Les professions du FEER 1, comme celles incluses dans ce grand groupe avec 1 comme deuxième chiffre dans leur code, exigent généralement un diplôme universitaire (baccalauréat, maîtrise ou doctorat) ou l'accumulation de plusieurs années d'expérience et d'expertise dans la connaissance du sujet matière dans une profession connexe trouvée dans FEER 2 (qui inclut des professions avec 2 comme deuxième chiffre dans leur code)."
3,Sous-grand groupe,111,Personnel professionnel en finance,"Ce sous-grand groupe comprend le personnel en finance, y compris les professionnels/professionnelles en finance, en vérification, en comptabilité et en investissement, et les autres agents financiers/agentes financières."
4,Sous-groupe,1110,"Professionnels/professionnelles en finance, en vérification et en comptabilité","Ce sous-groupe comprend les professionnels/professionnelles en finance, en vérification et en comptabilité, tels que les vérificateurs/vérificatrices et comptables, les analystes financiers/analystes financières et analystes en placements, les conseillers financiers/conseillères financières, les agents en valeurs, agents en placements et négociateurs en valeurs mobilières et les autres agents financiers/agentes financières. Ces professionnels/professionnelle travaillent pour des cabinets de comptabilité et de vérification; des banques et des assureurs, des souscripteurs et des sociétés de placements, de gestion des fonds et de fiducie; des sociétés de services publics et de fabrication; des maisons de courtage, à la bourse et dans d'autres établissements dans le secteur des valeurs mobilières; et dans l'ensemble des secteurs public et privé; ou ils/elles peuvent être travailleurs/travailleuses autonomes."
5,Groupe de base,11100,Vérificateurs/vérificatrices et comptables,"Les vérificateurs examinent et analysent les documents comptables et registres financiers de particuliers ou d'entreprises, afin d'assurer l'exactitude des documents en accord avec les principes comptables généralement reconnus. Les comptables planifient, organisent et administrent des systèmes de comptabilité pour des particuliers ou des entreprises. Ils sont employés par des firmes et des départements de comptabilité et de vérification du secteur privé, ou par des départements et unités de comptabilité et de vérification du secteur public, ou ils peuvent être des travailleurs autonomes. Les stagiaires des firmes de comptabilité sont inclus dans ce groupe de base."
5,Groupe de base,11101,Analystes financiers/analystes financières et analystes en placements,"Les analystes financiers et les analystes en placements rassemblent et analysent de l'information financière comme les prévisions économiques, le volume d'échanges et les mouvements de capitaux, les résultats financiers des entreprises, le rendement antérieur et les tendances des actions, obligations et autres titres de placements sur le marché, afin de donner des conseils financiers et de placements ou de financement aux établissements ou à leurs clients. Les études et évaluations qu'ils préparent traitent, entre autres, des sujets comme une offre d'achat publique, un placement privé, une fusion ou une acquisition. Les analystes financiers travaillent dans divers établissements privés et publics, tels que les banques, maisons de courtage, compagnies d'assurance, sociétés d'investissements, entreprises manufacturières, sociétés fiduciaires, services d'utilité publique et firmes de souscripteurs. Les analystes en placements travaillent principalement dans les maisons de courtage et les sociétés de gestion de fonds."
5,Groupe de base,11102,Conseillers financiers/conseillères financières,"Les conseillers financiers fournissent des recommandations sur certaines décisions financières personnelles comme les investissements, la gestion des liquidités et la planification de la retraite. Ils établissent des plans financiers personnels en fonction des objectifs de leurs clients et les guident durant la mise en oeuvre des stratégies proposées qui peuvent être ajustées à mesure que leur situation financière évolue. Ils travaillent dans des banques, des sociétés de fiducie, des sociétés d'investissements ou à leur propre compte."
5,Groupe de base,11103,"Agents/agentes en valeurs, agents/agentes en placements et négociateurs/négociatrices en valeurs","Les agents en valeurs et les agents en placements achètent et vendent des actions, des obligations, des bons du Trésor, des fonds communs de placement et d'autres valeurs pour des investisseurs, des gestionnaires de caisses de retraite, des banques, des sociétés de fiducie, des compagnies d'assurances et d'autres établissements. Les négociateurs en valeurs achètent et vendent des actions, des obligations, des biens, des devises étrangères et d'autres valeurs à la bourse au nom des agents en placements. Ils travaillent dans des compagnies de placements, des firmes de courtage, à la bourse et dans d'autres établissements dans le secteur des valeurs mobilières."
5,Groupe de base,11109,Autres agents financiers/agentes financières,"Les autres agents financiers comprennent les professions du domaine financier comme les inspecteurs et les vérificateurs financiers, les investigateurs financiers, les preneurs fermes, les courtiers en hypothèques et les agents de fiducie. Ils travaillent dans des banques, des sociétés de fiducie, des sociétés d'investissements, des compagnies d'assurances, des gouvernements ou à leur propre compte."
3,Sous-grand groupe,112,Personnel professionnel en gestion des affaires,"Ce sous-grand groupe comprend le personnel professionnel en gestion des affaires, y compris les professionnels/professionnelles en gestion des ressources humaines et en services aux entreprises."
4,Sous-groupe,1120,Professionnels/professionnelles en gestion des ressources humaines et en services aux entreprises,"Ce sous-groupe comprend les professionnels/professionnelles en gestion des ressources humaines et en services aux entreprises, y compris les professionnels/professionnelles des services-conseils en gestion aux entreprises, ainsi que ceux/celles en publicité, en marketing et en relations publiques. Ils/elles travaillent pour des sociétés d'experts-conseils, des agences de publicité, des sociétés, des associations, des organismes sociaux, des musées, des galeries, des groupes d'intérêt public et des organismes culturels ou autres; et dans l'ensemble des secteurs public et privé; ou ils/elles peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,11200,Professionnels/professionnelles en ressources humaines,"Les professionnels en ressources humaines élaborent, appliquent et évaluent les politiques, les programmes et les procédures en matière de ressources humaines et de relations de travail, et renseignent les employeurs et les employés sur les questions relatives aux ressources humaines. Ils travaillent partout dans les secteurs privé et public, ou ils peuvent être des travailleurs autonomes."
5,Groupe de base,11201,Professionnels/professionnelles des services-conseils en gestion aux entreprises,"Les professionnels des services-conseils en gestion aux entreprises offrent leurs services à la direction dans des domaines tels que l'analyse de la structure, des opérations, de la gestion des méthodes ou des procédés de gestion de l'organisation afin de suggérer, de planifier et de mettre en place des améliorations. Ils travaillent dans des firmes de conseil en gestion, dans les secteurs public et privé, ou ils peuvent être des travailleurs autonomes."
5,Groupe de base,11202,"Professionnels/professionnelles en publicité, en marketing et en relations publiques","Les professionnels en publicité, en marketing et en relations publiques analysent, élaborent et appliquent des stratégies de communication et de promotion et des programmes d'information, analysent les besoins en matière de publicité et élaborent des plans de publicité et de marketing, s'occupent de la publicité des activités et des événements et entretiennent des relations avec les médias au nom de commerces, de gouvernements et d'autres organisations, ainsi qu'au nom d'artistes, d'athlètes, d'écrivains et d'autres personnes de talent. Ils travaillent pour des entreprises de marketing et d'experts-conseils, des agences de publicité, des sociétés commerciales, des associations, le gouvernement, des organismes sociaux, des musées, des galeries d'art, des groupes d'intérêt public, des organismes culturels et d'autres organismes, ou ils peuvent être des travailleurs autonomes. Les agents qui représentent des artistes, des écrivains et des athlètes sont inclus dans ce groupe de base."
2,Grand groupe,12,Personnel de supervision du travail administratif et financier et personnel administratif spécialisés,"Ce grand groupe comprend le personnel de supervision du travail administratif et financier; le personnel administratif spécialisés; et le personnel en comptabilité, assurance et personnel assimilé en administration des affaires. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 2. Les professions du FEER 2, comme celles inclues dans ce grand groupe avec 2 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de deux à trois ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de deux à cinq ans; ou des responsabilités de supervision ou des responsabilités importantes en matières de sécurité; ou l'accumulation de plusieurs années d'expérience et d'expertise dans la connaissance du sujet matière dans une profession connexe trouvée dans FEER 3, le cas échéant (FEER 3 inclut des professions avec 3 comme deuxième chiffre dans leur code)."
3,Sous-grand groupe,120,Personnel de supervision du travail administratif et financier,"Ce sous-grand groupe comprend le personnel de supervision du travail administratif et financier, y compris les superviseurs de commis de bureau et du personnel de soutien administratif; les superviseurs de commis de finance et d'assurance; les superviseurs de commis de bibliothèque, de correspondanciers et d'autres commis à l'information; et les superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires."
4,Sous-groupe,1201,Personnel de supervision du travail administratif et financier,"Ce sous-groupe comprend le personnel de supervision du travail administratif et financier, y compris les superviseurs de commis de bureau et du personnel de soutien administratif; les superviseurs de commis de finance et d'assurance; les superviseurs de commis de bibliothèque, de correspondanciers et d'autres commis à l'information; et les superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires. Ils/elles travaillent pour des banques, d'autres institutions financières, des sociétés d'assurances, des entreprises de messageries; ainsi que dans l'ensemble des secteurs public et privé."
5,Groupe de base,12010,Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif,"Les superviseurs de commis de bureau et du personnel de soutien administratif surveillent et coordonnent le travail des travailleurs des groupes intermédiaires suivants : (1410) Personnel de soutien de bureau et des services judiciaires et (1411) Personnel des enquêtes, des statistiques et de la saisie de données. Ils travaillent dans les secteurs public et privé."
5,Groupe de base,12011,Superviseurs/superviseures de commis de finance et d'assurance,"Les superviseurs de commis de finance et d'assurance surveillent et coordonnent les activités des travailleurs des groupes de base suivants : (13102) Administrateurs/administratrices de la paye, (14200) Commis à la comptabilité et personnel assimilé, (14201) Commis de banque, d'assurance et d'autres services financiers et (14202) Commis de recouvrement. Ils travaillent dans des banques et d'autres institutions financières, des compagnies d'assurance et d'autres établissements des secteurs privé et public."
5,Groupe de base,12012,"Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information","Les superviseurs de commis de bibliothèque, de correspondanciers et d'autres commis à l'information surveillent et coordonnent les activités des commis des groupes de base suivants : (14110) Intervieweurs/intervieweuses pour enquêtes et commis aux statistiques, (14300) Commis et assistants/assistantes dans les bibliothèques et (14301) Correspondanciers/correspondancières et commis aux publications et aux règlements. Ils travaillent dans les secteurs public et privé."
5,Groupe de base,12013,"Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires","Les superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires supervisent le travail du personnel du groupe de base 13201 Coordonnateurs/coordonnatrices de la logistique de la production et du transport et du sous-grand groupe 144: Personnel en logistiques de chaîne d'approvisionnement, en suivi et en coordination d'horaires. Ils travaillent dans les secteurs public et privé."
3,Sous-grand groupe,121,Personnel administratif spécialisés,"Ce sous-grand groupe comprend le personnel administratif spécialisés, y compris le personnel administratif et de réglementation, ainsi que les sténographes judiciaires, transcripteurs/transcriptrices, techniciens/techniciennes à la gestion des documents et agents/agentes de statistiques."
4,Sous-groupe,1210,Personnel administratif et de réglementation,"Ce sous-groupe comprend le personnel administratif et de réglementation, y compris les adjoints/adjointes de direction, agents/agentes des ressources humaines et de recrutement, agents/agentes en approvisionnement aux achats, planificateurs/planificatrices de congrès et d'événements, et les agents/agentes d'assurance-emploi et du revenu. Ils/elles travaillent pour des gouvernements, des organismes gouvernementaux, des sociétés et des associations; des centres de congrès et de conférences et des compagnies spécialisées dans la planification de congrès et d'événements spéciaux; ou ils/elles peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,12100,Adjoints/adjointes de direction,"Les adjoints de direction coordonnent les procédures administratives ainsi que les activités de relations publiques, de recherche et d'analyse pour des députés, des ministres, des sous-ministres, des dirigeants et des cadres supérieurs, des comités et des conseils d'administration. Ils travaillent dans le secteur public, de même que pour des corporations et des associations."
5,Groupe de base,12101,Agents/agentes des ressources humaines et de recrutement,"Les agents des ressources humaines et de recrutement identifient et affichent les postes vacants, recrutent les candidats et aident à la sélection et à l'affectation du personnel. Ils travaillent dans les secteurs privé et public."
5,Groupe de base,12102,Agents/agentes en approvisionnement et aux achats,"Les agents en approvisionnement et aux achats recherchent et achètent de l'équipement général et spécialisé, du matériel, des services commerciaux et des terrains ou des droits de passage qui seront utilisés ou transformés par leurs établissements. Ils travaillent dans les secteurs public et privé."
5,Groupe de base,12103,Planificateurs/planificatrices de congrès et d'événements,"Les planificateurs de congrès et d'événements planifient, organisent et coordonnent des conférences, des congrès, des réunions, des séminaires, des expositions, des foires commerciales, des festivals et d'autres événements spéciaux. Ils travaillent pour des associations touristiques, des associations commerciales et professionnelles, des centres de congrès et de conférences, les gouvernements et des compagnies spécialisées dans la planification de congrès et d'événements spéciaux, ou ils peuvent être des travailleurs autonomes."
5,Groupe de base,12104,Agents/agentes d'assurance-emploi et du revenu,"Les agents d'assurance-emploi et du revenu administrent et appliquent les lois et les règlements sur les taxes d'accise, l'assurance-emploi et autres services de prestations gouvernementales. Ils travaillent pour des agences gouvernementales."
4,Sous-groupe,1211,"Sténographes judiciaires, transcripteurs/transcriptrices, techniciens/techniciennes à la gestion des documents et agents/agentes de statistiques","Ce sous-groupe comprend les sténographes judiciaires, les transcripteurs (y compris les transcripteurs médicaux et personnel assimilé; les professionnels transcripteurs dans le domaine de la gestion de l'information sur la santé), les techniciens à la gestion des documents, et les agents de la statistique et professions connexes du soutien de la recherche. Ils/elles travaillent dans les tribunaux judiciaires ainsi qu'au service des assemblées législatives provinciales et fédérale et des comités; des centres hospitaliers, des cabinets de médecins, des cliniques médicales; des commissions de santé et de sécurité au travail, des sociétés d'experts-conseils en dossiers médicaux et d'autres établissements de soins de santé; et dans l'ensemble des secteurs public et privé; ou ils/elles peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,12110,"Sténographes judiciaires, transcripteurs médicaux/transcriptrices médicales et personnel assimilé","Les sténographes judiciaires consignent et transcrivent les délibérations des tribunaux, des assemblées législatives ou des comités et préparent des transcriptions pour des juges, des tribunaux et des tableaux quasi judiciaires. Ils travaillent dans des tribunaux judiciaires ainsi qu'au service des assemblées législatives provinciales et fédérale et des comités, ou ils peuvent être des travailleurs/travailleuses autonomes. Les transcripteurs médicaux consignent, transcrivent et font la mise en forme des données dictées obtenues de médecins et d'autres professionnels du domaine de la santé, de procédures chirurgicales, de rapports liés à la santé et d'autres documents médicaux. Ils travaillent dans des centres hospitaliers, des cabinets de médecins et des cliniques médicales, ou ils peuvent être des travailleurs/travailleuses autonomes. Les codeurs en sous-bandes, les technicien braille et les autres transcripteurs sont inclus dans ce groupe de base."
5,Groupe de base,12111,Personnel en gestion de l'information sur la santé,"Le personnel en gestion de l'information sur la santé, recueillent, codent, enregistrent, révisent et gèrent de l'information sur la santé. Ils travaillent dans des centres hospitaliers, des cliniques, des commissions de santé et sécurité au travail, des firmes conseils en gestion de dossiers médicaux, et autres établissements de soins de santé. Le personnel en gestion de l'information sur la santé qui sont aussi superviseurs sont inclus dans ce groupe de base."
5,Groupe de base,12112,Techniciens/techniciennes à la gestion des documents,"Les techniciens à la gestion des documents utilisent et entretiennent des systèmes pour la cueillette, la classification, l'extraction et la conservation de données, d'images, de documents et d'information. Ils travaillent dans les secteurs privé et public."
5,Groupe de base,12113,Agents/agentes de statistiques et professions connexes du soutien de la recherche,"Les agents de statistiques et travailleurs des professions connexes de soutien à la recherche fournissent des services de soutien statistique et de recherche à un bon nombre d'entreprises et d'organisations. Ces travailleurs effectuent des routines de statistiques, suivent les tendances, compilent des données et préparent des tableaux, des graphiques, des résumés et des rapports à l'appui des besoins d'information organisationnelle et des activités de recherche. Ils travaillent dans les secteurs privé et public. Les agents de statistique qui sont également superviseurs sont inclus dans ce groupe de base."
3,Sous-grand groupe,122,"Personnel en comptabilité, assurance et personnel assimilé en administration des affaires","Ce sous-grand groupe comprend le personnel en comptabilité, assurance et personnel assimilé en administration des affaires, y compris les techniciens en comptabilité, teneurs de livres, experts en sinistres, rédacteurs sinistres, assureurs, estimateurs, les évaluateurs et courtiers en douanes, courtiers maritimes et autres courtiers."
4,Sous-groupe,1220,"Personnel en comptabilité, assurance et personnel assimilé en administration des affaires","Ce sous-groupe comprend le personnel en comptabilité, assurance et personnel assimilé en administration des affaires, y compris les techniciens en comptabilité, teneurs de livres, experts en sinistres, rédacteurs sinistres, assureurs, estimateurs, les évaluateurs et courtiers en douanes, courtiers maritimes et autres courtiers. Ils/elles travaillent dans les services des réclamations des compagnies d'assurance ou comme experts indépendants; au siège social et dans les succursales des compagnies d'assurance; pour des organismes gouvernementaux, des sociétés immobilières et d'autres compagnies du secteur privé; par des maisons de courtage en douanes, de courtage maritime ou d'autres établissements de courtage; et dans l'ensemble des secteurs public et privé; ou ils/elles peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,12200,Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres,"Les techniciens en comptabilité et les teneurs de livres gèrent des séries complètes de livres, tiennent les registres des comptes, vérifient les méthodes utilisées pour comptabiliser les opérations financières et fournissent des services de tenue de livres à des particuliers. Ils travaillent dans les secteurs privé et public ou ils peuvent être des travailleurs autonomes."
