CNP 2016 Code (2 chiffres),CNP 2016 Étiquette,CNP 2016 Niveau de compétence,CNP 2021 Code (2 chiffres),CNP 2021 Étiquette,CNP 2021 FÉER,Description
,Début de la suppression. Fin de la suppression.,,64,Représentants / représentantes des ventes et du service et autres professions des services à la clientèle et personnels,4,"Les appellations d'emploi ""agent / agente d'information touristique"" et ""technicien / technicienne en tourisme"" ont été déplacées dans le grand groupe 64."
12,Début de la suppression. Personnel de supervision du travail administratif et financier et personnel administratif Fin de la suppression.,B,10,"Cadres intermédiaires spécialisés / spécialisées des services administratifs, services financiers et des services aux entreprises et services de communications (sauf la radiotélédiffusion)",0,"L'appellation d'emploi ""greffier / greffière d'un tribunal"" a été déplacée dans le grand groupe 10."
,Début de la suppression. Fin de la suppression.,,12,Personnel de supervision du travail administratif et financier et personnel administratif spécialisés,2,"Les groupes de base 1211, 1212, 1213, 1214, 1222, 1223, 1225, 1226, 1228, 1251, 1252, 1253, et 1254 ont été relocalisés dans le grand groupe 12. L'étiquette de ce grand groupe a été modifiée."
,Début de la suppression. Fin de la suppression.,,13,Personnel administratif et personnel de la logistique du transport,3,"Les groupes de base 1221, 1224, 1241, 1242 et 1243 ainsi que les appellations d'emploi liées aux postes de non-superviseur en logistique, fret et transport ont été relocalisés dans le grand groupe 13."
,Début de la suppression. Fin de la suppression.,,14,Personnel de soutien administratif et finance et en logistiques de chaîne d'approvisionnement,4,Les appellations d'emploi liées aux postes de constable judiciaire et administrateur d'un tribunal ont été déplacées dans le grand groupe 14.
,Début de la suppression. Fin de la suppression.,,42,"Services de protection publique de première ligne et personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement",2,Les appellations d'emploi liées aux juges de paix ont été déplacées dans le grand groupe 42.
,Début de la suppression. Fin de la suppression.,,43,Personnel de soutien en éducation et en protection juridique et publique,3,"Les appellations d'emploi liées aux agents de l’immigration, des douanes, et de services frontaliers ont été déplacées dans le grand groupe 43."
,Début de la suppression. Fin de la suppression.,,72,Officiers / officières et contrôleurs / contrôleuses des métiers techniques et des transports,2,Le groupe de base 1214 a été relocalisé dans le grand groupe 72.
,Début de la suppression. Fin de la suppression.,,74,"Personnel au courrier et à la distribution de messages, autres conducteurs / conductrices de matériel de transport et personnel d'entretien assimilé",4,"L'appellation d'emploi ""superviseur / superviseure des services de passerelle - aéroport"" a été déplacée dans le grand groupe 74."
13,"Début de la suppression. Personnel en finance, assurance et personnel assimilé en administration des affaires Fin de la suppression.",B,12,Personnel de supervision du travail administratif et financier et personnel administratif spécialisés,2,"Les groupes de base 1311, 1312,1313 et 1314 ont été relocalisés dans le grand groupe 12."
,Début de la suppression. Fin de la suppression.,,13,Personnel administratif et personnel de la logistique du transport,3,Le groupe de base 1315 a été relocalisé dans le grand groupe 13. L'étiquette de ce grand groupe a été modifiée.
14,Début de la suppression. Personnel de soutien de bureau Fin de la suppression.,C,13,Personnel administratif et personnel de la logistique du transport,3,Le groupe de base 1432 a été relocalisé dans le grand groupe 13.
,Début de la suppression. Fin de la suppression.,,14,Personnel de soutien administratif et finance et en logistiques de chaîne d'approvisionnement,4,"Tous les groupes de base, à l'exception du groupe de base 1432, ont été relocalisés dans le grand groupe 14. L'étiquette de ce grand groupe a été modifiée."
15,"Début de la suppression. Personnel de coordination de la distribution, du suivi et des horaires Fin de la suppression.",C,13,Personnel administratif et personnel de la logistique du transport,3,Les appellations d'emploi liées au coordonnateurs dans la logistique de production ont été déplacées dans le grand groupe 13.
,Début de la suppression. Fin de la suppression.,,14,Personnel de soutien administratif et finance et en logistiques de chaîne d'approvisionnement,4,"Les groupes de base 1521, 1522, 1523, 1524, 1525 et 1526 ont été relocalisés dans le grand groupe 14."
,Début de la suppression. Fin de la suppression.,,64,Représentants / représentantes des ventes et du service et autres professions des services à la clientèle et personnels,4,Les appellations d'emploi liées aux commis et aux travailleurs des postes ont été déplacées dans le grand groupe 64.
,Début de la suppression. Fin de la suppression.,,74,"Personnel au courrier et à la distribution de messages, autres conducteurs / conductrices de matériel de transport et personnel d'entretien assimilé",4,Le groupe de base 1512 et les appellations d'emploi liées aux trieur de courrier ont été relocalisés dans le grand groupe 74.
,Début de la suppression. Fin de la suppression.,,75,Aides et ouvriers / ouvrières et autres opérateurs / opératrices et manoeuvres de transport et personnel assimilé,5,Les appellations d'emploi liées aux distributeurs de porte-à-porte ont été déplacées dans le grand groupe 75.
21,Personnel professionnel des sciences naturelles et appliquées,A,21,Personnel professionnel des sciences naturelles et appliquées,1,Tous les groupes de base ont été relocalisés dans le grand groupe 21.
22,Personnel technique assimilé aux sciences naturelles et appliquées,B,22,Personnel technique assimilé aux sciences naturelles et appliquées,2,"Tous les groupes de base, à l'exception de ceux dans le sous-groupe 227, ont été relocalisés dans le grand groupe 22."
,,,72,Officiers / officières et contrôleurs / contrôleuses des métiers techniques et des transports,2,"Les groupes de base 2271, 2272, 2273, 2274 et 2275 ont été relocalisés dans le grand groupe 72."
30,Début de la suppression. Personnel professionnel en soins infirmiers Fin de la suppression.,A,31,Personnel professionnel des soins de santé,1,Les groupes de base 3011 et 3012 ont été relocalisés dans le grand groupe 31.
31,Début de la suppression. Personnel professionnel des soins de santé (sauf soins infirmiers) Fin de la suppression.,A,31,Personnel professionnel des soins de santé,1,Tous les groupes de base ont été relocalisés dans le grand groupe 31. L'étiquette de ce grand groupe a été modifiée.
,Début de la suppression. Fin de la suppression.,,32,Personnel technique des soins de santé,2,"L'appellation d'emploi ""assistants en anesthésie"" ainsi que les appellations d'emploi liées aux autres personnel technique en thérapie et en diagnostic ont été déplacées dans le grand groupe 32."
,Début de la suppression. Fin de la suppression.,,41,"Personnel professionnel du droit, d'enseignement, des services gouvernementaux, sociaux et communautaires",1,Les appellations d'emploi liées à l'art-thérapie ont été déplacées dans le grand groupe 41.
32,Personnel technique des soins de santé,B,31,Personnel professionnel des soins de santé,1,Les appellations d'emploi liées aux assistants en pathologie ont été déplacées dans le grand groupe 31.
,,,32,Personnel technique des soins de santé,2,"Tous les groupes de base, à l'exception du groupe de base 3212, ont été relocalisés dans le grand groupe 32."
,,,33,Personnel de soutien des services de santé,3,"Les appellations d'emploi liées aux assistants de laboratoires médicaux, aux assistants techniques en pharmacie ainsi qu'aux assistants dentaires et auxiliaires dans les laboratoires dentaires ont été déplacées dans le grand groupe 33."
34,Personnel de soutien des services de santé,C,32,Personnel technique des soins de santé,2,Les appellations d'emploi liées aux assistants en réadaptation et en thérapie ont été déplacées dans le grand groupe 32.
,,,33,Personnel de soutien des services de santé,3,Tous les groupes de base ont été relocalisés dans le grand groupe 33.
40,Début de la suppression. Personnel professionnel en services d'enseignement Fin de la suppression.,A,41,"Personnel professionnel du droit, d'enseignement, des services gouvernementaux, sociaux et communautaires",1,Tous les groupes de base ont été relocalisés dans le grand groupe 41.
41,"Début de la suppression. Personnel professionnel du droit et des services gouvernementaux, sociaux et communautaires Fin de la suppression.",A,11,Personnel professionnel en finance et en gestion des affaires,1,"L'appellation d'emploi ""consultant / consultante en marketing"" a été déplacée dans le grand groupe 11."
,Début de la suppression. Fin de la suppression.,,21,Personnel professionnel des sciences naturelles et appliquées,1,Les appellations d'emploi liées à la recherche clinique ont été déplacées dans le grand groupe 21.
,Début de la suppression. Fin de la suppression.,,31,Personnel professionnel des soins de santé,1,"L'appellation d'emploi ""conseiller / conseillère en génétique"" a été déplacée dans le grand groupe 31."
,Début de la suppression. Fin de la suppression.,,41,"Personnel professionnel du droit, d'enseignement, des services gouvernementaux, sociaux et communautaires",1,Tous les groupes de base ont été relocalisés dans le grand groupe 41. L'étiquette de ce grand groupe a été modifiée.
,Début de la suppression. Fin de la suppression.,,42,"Services de protection publique de première ligne et personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement",2,Les appellations d'emploi liées aux agents chargés de cas dans un centre correctionnel ont été déplacées dans le grand groupe 42.
42,"Début de la suppression. Personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement Fin de la suppression.",B,42,"Services de protection publique de première ligne et personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement",2,Tous les groupes de base ont été relocalisés dans le grand groupe 42. L'étiquette de ce grand groupe a été modifiée.
43,Début de la suppression. Personnel des services de protection publique de première ligne Fin de la suppression.,B,41,"Personnel professionnel du droit, d'enseignement, des services gouvernementaux, sociaux et communautaires",1,Les appellations d'emploi liées aux enquêteurs de police ont été déplacées dans le grand groupe 41.
,Début de la suppression. Fin de la suppression.,,42,"Services de protection publique de première ligne et personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement",2,Tous les groupes de base ont été relocalisés dans le grand groupe 42.
,Début de la suppression. Fin de la suppression.,,43,Personnel de soutien en éducation et en protection juridique et publique,3,Les appellations d'emploi liées aux professions militaires qui typiquement exigent des études collégiales ou une formation d'apprenti de moins de 2 années ont été déplacées dans le grand groupe 43. L'étiquette de ce grand groupe a été modifiée.
,Début de la suppression. Fin de la suppression.,,44,Prestataires de soins et personnel de la protection du public,4,Les appellations d'emploi liées aux professions militaires qui typiquement n'exigent pas des études collégiales ni de formation d'apprenti ont été déplacées dans le grand groupe 44.
44,"Début de la suppression. Dispensateurs / dispensatrices de soins et personnel de soutien en enseignement, en droit et en protection publique Fin de la suppression.",C,43,Personnel de soutien en éducation et en protection juridique et publique,3,"Les groupes de base 4421, 4422 et 4423 ainsi que les appellations d'emploi liées aux aides-enseignants aux niveaux primaire et secondaire ont été déplacés dans le grand groupe 43."
,Début de la suppression. Fin de la suppression.,,44,Prestataires de soins et personnel de la protection du public,4,"Le groupe de base 4411 ainsi que les appellations d'emploi liées aux aides de maintien à domicile, aides familiaux et personnel assimilé ont été déplacés dans le grand groupe 44. L'étiquette de ce grand groupe a été modifiée."
,Début de la suppression. Fin de la suppression.,,45,"Surveillants / surveillantes d’élèves, brigadiers / brigadières et autres professions connexes",5,Les appellations d'emploi liées au surveillants d’élèves ont été déplacées dans le grand groupe 45.
,Début de la suppression. Fin de la suppression.,,65,Personnel de soutien aux ventes et services,5,"Les appellations d'emplois ""aide ménager / aide ménagère"" et ""aide domestique"" ont été déplacées dans le grand groupe 65."
51,Personnel professionnel des arts et de la culture,A,51,Personnel professionnel des arts et de la culture,1,"Les groupes de base 5111, 5112, 5113, 5121, 5122, 5123, 5125, 5131, 5132 et 5133 ont été relocalisés dans le grand groupe 51."
,,,53,"Personnel des arts, de la culture et des sports",3,"Les groupes de base 5134, 5135 et 5136 ont été relocalisés dans le grand groupe 53."
52,"Personnel technique des arts, de la culture, des sports et des loisirs",B,52,"Personnel technique des arts, de la culture et des sports",2,"Les groupes de base 5211, 5222, 5223, 5224, 5225, 5226, 5231, 5241 et 5242 ont été relocalisés dans le grand groupe 52."
,,,53,"Personnel des arts, de la culture et des sports",3,"Les groupes de base 5212, 5221, 5227, 5244, 5245, 5251, 5252 et 5253 ainsi que les appellations d'emploi liées aux spectacles de cirque et aux ensembliers de théâtre, dessinateurs de mode, concepteurs d'expositions et autres concepteurs artistiques ont été déplacés dans le grand groupe 53."
,,,54,Personnel de soutien des sports,4,Le groupe de base 5254 a été relocalisé dans le grand groupe 54.
,,,55,Personnel de soutien des arts et de la culture,5,Les appellations d'emploi liées aux autres artistes de spectacle ont été déplacées dans le grand groupe 55.
,,,62,Personnel de supervision des ventes au détail et des services et personnel des ventes et des services spécialisés,2,"Les appellations d'emploi ""superviseur / superviseure de concepteurs de présentoirs"" et ""surveillant / surveillante de la conception de présentoirs"" ont été déplacées dans le grand groupe 62."
,,,64,Représentants / représentantes des ventes et du service et autres professions des services à la clientèle et personnels,4,Le CNP 5243 a été divisé. Les appellations d'emploi liées aux vendeurs et décorateur-étalagistes en commerce de détail ont été déplacées dans le grand groupe 64.
62,Début de la suppression. Personnel de supervision des ventes au détail et personnel des ventes spécialisées Fin de la suppression.,B,62,Personnel de supervision des ventes au détail et des services et personnel des ventes et des services spécialisés,2,Les groupes de base 6211 and 6222 ainsi que les appellations d'emploi liées aux spécialistes des ventes techniques en commerce de gros ont été déplacés dans le grand groupe 62. L'étiquette de ce grand groupe a été modifiée.
,Début de la suppression. Fin de la suppression.,,63,Personnel des ventes et des services,3,"Les groupes de base 6231, 6232 et 6235 ont été relocalisés dans le grand groupe 63."
,Début de la suppression. Fin de la suppression.,,70,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",0,"Les appellations d'emploi ""directeur / directrice de district de silo à grains"", ""directeur / directrice de silo à grains"", et ""directeur adjoint / directrice adjointe d'élévateur à grains"" ont été déplacées dans le grand groupe 70."
,Début de la suppression. Fin de la suppression.,,75,Aides et ouvriers / ouvrières et autres opérateurs / opératrices et manoeuvres de transport et personnel assimilé,5,"L'appellation d'emploi ""agent / agente d'élévateur à grains"" a été déplacée dans le grand groupe 75."
63,Début de la suppression. Personnel de supervision en services et personnel de services spécialisés Fin de la suppression.,B,62,Personnel de supervision des ventes au détail et des services et personnel des ventes et des services spécialisés,2,"Les groupes de base 6311, 6312, 6313, 6314, 6315, 6321, 6344 et 6346 ainsi que les appellations d'emploi liées aux surveillants des autres services ont été relocalisés dans le grand groupe 62."
,Début de la suppression. Fin de la suppression.,,63,Personnel des ventes et des services,3,"Les groupes de base 6322, 6332, 6341, 6343 et 6345 ainsi que les appellations d'emploi liées aux bouchers ont été relocalisés dans le grand groupe 63. L'étiquette de ce grand groupe a été modifiée."
,Début de la suppression. Fin de la suppression.,,64,Représentants / représentantes des ventes et du service et autres professions des services à la clientèle et personnels,4,Le groupe de base 6342 a été relocalisé dans le grand groupe 64.
,Début de la suppression. Fin de la suppression.,,65,Personnel de soutien aux ventes et services,5,"Le CNP 6316 a été divisé. Les appellations d'emploi ""surveillant / surveillante de parc"", ""surveillant / surveillante de patinoire"", et ""surveillant / surveillante de terrain de camping"" ainsi que les appellations d'emploi liées aux coupeurs de viande et poissonnerie ont été déplacées dans le grand groupe 65."
64,Début de la suppression. Représentants / représentantes des ventes et vendeurs / vendeuses - commerce de gros et de détail Fin de la suppression.,C,62,Personnel de supervision des ventes au détail et des services et personnel des ventes et des services spécialisés,2,"Le CNP 6411 a été divisé. Les appellations d'emploi ""négociant / négociante en grains"" et ""représentant / représentante des ventes de bétail - commerce de gros"" ont été déplacées dans le grand groupe 62."
,Début de la suppression. Fin de la suppression.,,64,Représentants / représentantes des ventes et du service et autres professions des services à la clientèle et personnels,4,Le groupe de base 6421 ainsi que les appellations d'emploi liées aux représentants des ventes et des comptes en commerce de gros (non-technique) ont été déplacés dans le grand groupe 64. L'étiquette de ce grand groupe a été modifiée.
65,Début de la suppression. Représentants / représentantes de services et autre personnel de services à la clientèle et personnalisés Fin de la suppression.,C,45,"Surveillants / surveillantes d’élèves, brigadiers / brigadières et autres professions connexes",5,"Les appellations d'emploi ""Brigadier / brigadière scolaire"" et ""Brigadier / brigadière"" ont été déplacées dans le grand groupe 45."
,Début de la suppression. Fin de la suppression.,,63,Personnel des ventes et des services,3,Le groupe de base 6562 a été relocalisé dans le grand groupe 63.
,Début de la suppression. Fin de la suppression.,,64,Représentants / représentantes des ventes et du service et autres professions des services à la clientèle et personnels,4,"Les groupes de base 6511, 6512, 6521, 6522, 6523, 6524, 6525, 6531, 6532,6533, 6551, 6552 et 6561 ainsi que les appellations d'emploi liées aux agents de sécurité et personnel assimilé des services de sécurité ont été relocalisés dans le grand groupe 64."
,Début de la suppression. Fin de la suppression.,,65,Personnel de soutien aux ventes et services,5,"L'appellation d'emploi ""Client mystère / cliente mystère"" a été déplacée dans le grand groupe 65. L'étiquette de ce grand groupe a été modifiée."
66,Début de la suppression. Personnel de soutien des ventes Fin de la suppression.,D,65,Personnel de soutien aux ventes et services,5,Tous les groupes de base ont été relocalisés dans le grand groupe 65.
67,"Début de la suppression. Personnel de soutien en service et autre personnel de service, n.c.a. Fin de la suppression.",D,65,Personnel de soutien aux ventes et services,5,Tous les groupes de base ont été relocalisés dans le grand groupe 65.
,Début de la suppression. Fin de la suppression.,,73,Métiers généraux,3,Les appellations d'emploi liées aux surintendants d'immeuble et des travaux d'entretien ont été déplacées dans le grand groupe 73.
72,"Début de la suppression. Personnel des métiers de l'électricité, de la construction et des industries Fin de la suppression.",B,72,Officiers / officières et contrôleurs / contrôleuses des métiers techniques et des transports,2,"Les groupes de base 7201, 7202, 7203, 7204, 7205, 7231, 7232, 7233, 7234, 7235, 7236, 7237, 7241, 7242, 7243, 7244, 7245, 7246, 7247, 7251, 7252, 7253, 7271, 7272 et 7281 ont été relocalisés dans le grand groupe 72. L'étiquette de ce grand groupe a été modifiée."
,Début de la suppression. Fin de la suppression.,,73,Métiers généraux,3,"Les groupes de base 7282, 7283, 7284, 7291, 7292, 7293, 7294 et 7295 ont été relocalisés dans le grand groupe 73."
73,Début de la suppression. Personnel des métiers d'entretien et d'opération d'équipement Fin de la suppression.,B,72,Officiers / officières et contrôleurs / contrôleuses des métiers techniques et des transports,2,"Les groupes de base 7301, 7302, 7303, 7304, 7305, 7311, 7312, 7314, 7315, 7316, 7318, 7321, 7322, 7331, 7332,  7333, 7334, 7335, 7373 et 7384 ainsi que les appellations d'emploi liées aux grutiers ont été relocalisés dans le grand groupe 72."
,Début de la suppression. Fin de la suppression.,,73,Métiers généraux,3,"Les groupes de base 7361, 7362, 7372 et 7381 ont été relocalisés dans le grand groupe 73. L'étiquette de ce grand groupe a été modifiée."
,Début de la suppression. Fin de la suppression.,,75,Aides et ouvriers / ouvrières et autres opérateurs / opératrices et manoeuvres de transport et personnel assimilé,5,Les appellations d'emploi liées au gréement ont été déplacées dans le grand groupe 75.
74,"Début de la suppression. Personnel d'installation, de réparation et d'entretien et manutentionnaires Fin de la suppression.",C,22,Personnel technique assimilé aux sciences naturelles et appliquées,2,"L'appellation d'emploi ""technicien / technicienne de systèmes de sécurité"" a été déplacée dans le grand groupe 22."
,Début de la suppression. Fin de la suppression.,,73,Métiers généraux,3,Les groupes de base 7441 et 7444 ainsi que les appellations d'emploi liées aux autres réparateurs et préposés à l'entretien ont été relocalisés dans le grand groupe 73.
,Début de la suppression. Fin de la suppression.,,74,"Personnel au courrier et à la distribution de messages, autres conducteurs / conductrices de matériel de transport et personnel d'entretien assimilé",4,Le groupe de base 7442 a été relocalisé dans le grand groupe 74. L'étiquette de ce grand groupe a été modifiée.
,Début de la suppression. Fin de la suppression.,,75,Aides et ouvriers / ouvrières et autres opérateurs / opératrices et manoeuvres de transport et personnel assimilé,5,Les groupes de base 7451 et 7452 ont été relocalisés dans le grand groupe 75.
75,Début de la suppression. Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien Fin de la suppression.,C,73,Métiers généraux,3,"Les groupes de base 7511, 7512 et 7521 ont été relocalisés dans le grand groupe 73."
,Début de la suppression. Fin de la suppression.,,74,"Personnel au courrier et à la distribution de messages, autres conducteurs / conductrices de matériel de transport et personnel d'entretien assimilé",4,"Les groupes de base 7522, 7531, 7532, 7534 et 7535 ainsi que les appellations d'emploi liées aux chauffeurs de service de messagerie ont été relocalisés dans le grand groupe 74."
,Début de la suppression. Fin de la suppression.,,75,Aides et ouvriers / ouvrières et autres opérateurs / opératrices et manoeuvres de transport et personnel assimilé,5,Les groupes de base 7513 et 7533 ainsi que les appellations d'emploi liées aux chauffeurs-livreurs de service de livraison et aux distributeurs de porte-à-porte ont été relocalisés dans le grand groupe 75. L'étiquette de ce grand groupe a été modifiée.
76,"Début de la suppression. Personnel de soutien des métiers, manoeuvres et aides d'entreprise en construction et autre personnel assimilé Fin de la suppression.",D,75,Aides et ouvriers / ouvrières et autres opérateurs / opératrices et manoeuvres de transport et personnel assimilé,5,Tous les groupes de base ont été relocalisés dans le grand groupe 75.
82,"Début de la suppression. Superviseurs / superviseures et métiers techniques dans les ressources naturelles, l'agriculture et la production connexe Fin de la suppression.",B,72,Officiers / officières et contrôleurs / contrôleuses des métiers techniques et des transports,2,"L'appellation d'emploi ""entrepreneur / entrepreneuse de service de poudrage aérien des cultures"" a été déplacée dans le grand groupe 72."
,Début de la suppression. Fin de la suppression.,,82,"Superviseurs / superviseures en ressources naturelles, en agriculture et en production connexe",2,"Les groupes de base 8211, 8221, 8222 et 8255 ainsi que les appellations d'emploi liées aux entrepreneurs de services agricoles et surveillants d'exploitations agricoles ont été relocalisés dans le grand groupe 82. L'étiquette de ce grand groupe a été modifiée."
,Début de la suppression. Fin de la suppression.,,83,Personnel en ressources naturelles et en production connexe,3,"Les groupes de base 8231, 8232, 8241, 8261 et 8262 ont été relocalisés dans le grand groupe 83."
,Début de la suppression. Fin de la suppression.,,84,"Travailleurs / travailleuses en ressources naturelles, en agriculture et en production connexe",4,Les appellations d'emploi liées aux travaux d'élevage spécialisés ont été déplacées dans le grand groupe 84.
,Début de la suppression. Fin de la suppression.,,85,"Manoeuvres à la récolte, en aménagement paysager et en ressources naturelles",5,"L'appellation d'emploi ""préposé / préposée de parc d'engraissement de troupeaux"" a été déplacée dans le grand groupe 85."
84,"Début de la suppression. Personnel en ressources naturelles, en agriculture et en production connexe Fin de la suppression.",C,84,"Travailleurs / travailleuses en ressources naturelles, en agriculture et en production connexe",4,"Les groupes de base 8411, 8412, 8421, 8422 et 8441 ainsi que les appellations d'emploi liées à l'exploitation de machines agricoles ont été relocalisés dans le grand groupe 84. L'étiquette de ce grand groupe a été modifiée en français seulement."
,Début de la suppression. Fin de la suppression.,,85,"Manoeuvres à la récolte, en aménagement paysager et en ressources naturelles",5,Les groupes de base 8432 et 8442 ainsi que les appellations d'emploi liées aux manoeuvres aux soins du bétail et aux manoeuvres à la récolte ont été relocalisés dans le grand groupe 85.
86,"Début de la suppression. Manoeuvres à la récolte, en aménagement paysager et en ressources naturelles Fin de la suppression.",D,85,"Manoeuvres à la récolte, en aménagement paysager et en ressources naturelles",5,Tous les groupes de base ont été relocalisés dans le grand groupe 85.
92,"Début de la suppression. Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs / opératrices de poste central de contrôle Fin de la suppression.",B,92,"Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs / opératrices et contrôleurs / contrôleuses d'utilités publiques",2,"Les groupes de base 9211, 9212, 9213, 9214, 9215, 9217, 9221, 9222, 9223, 9224, 9226, 9227, 9241 et 9243 ont été relocalisés dans le grand groupe 92. L'étiquette de ce grand groupe a été modifiée."
,Début de la suppression. Fin de la suppression.,,93,Opérateurs / opératrices de poste central de contrôle et monteurs / monteuses et inspecteurs / inspectrices de montage d'aéronefs,3,"Les groupes de base 9231, 9232 et 9235 ont été relocalisés dans le grand groupe 93."
94,Début de la suppression. Opérateurs / opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé Fin de la suppression.,C,94,"Opérateurs / opératrices de machines, monteurs / monteuses et inspecteurs / inspectrices dans le traitement, la fabrication et l'impression",4,"Tous les groupes de base, à l'exception du groupe de base 9445, ont été relocalisés dans le grand groupe 94. L'étiquette de ce grand groupe a été modifiée."
,Début de la suppression. Fin de la suppression.,,95,"Manoeuvres dans la transformation, la fabrication et les services d'utilité publique",5,"Le groupe de base 9445 ainsi que les appellations d'emploi ""aide-opérateur / aide-opératrice de four tubulaire"" et ""aide à la machine à imprimer les étoffes"" ont été relocalisés au CNP 95."
