CNP 2016 Code (3 chiffres),CNP 2016 Étiquette,CNP 2016 Niveau de compétence,CNP 2021 Code (4 chiffres),CNP 2021 Étiquette,CNP 2021 FÉER,Description
121,Superviseurs / superviseures de services administratifs,B,1201,Personnel de supervision du travail administratif et financier,2,"Le sous-groupe 121 a été divisé. Les groupes de base 1211 (maintenant 12010), 1212 (maintenant 12011), 1213 (maintenant 12012) et 1215 (maintenant 12013) ont été déplacés du sous-groupe 121 au sous-groupe 1201."
,,,7202,Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses du personnel des métiers d'entretien et des opérateurs d'équipement lourd et de transport,2,Le sous-groupe 121 a été divisé. Le groupe de base 1214 (maintenant 72025) a été déplacé du sous-groupe 121 au sous-groupe 7202.
,,,1320,Coordonnateur / coordonnatrice de la logistique de la production et du transport et courtiers / courtières en douanes et autres professions courtiers / courtières,3,"Le sous-groupe 121 a été divisé. Les appellations d'emploi liées aux postes de non-superviseur en logistique, fret et transport ont été déplacés du sous-groupe 121 au sous-groupe 1320."
,,,7420,Mécaniciens / mécaniciennes de petits moteurs et d’équipements et réparateurs / réparatrices connexes (y compris composants électriques),4,"Le sous-groupe 121 a été divisé. L'appellation d'emploi ""superviseur / superviseure des services de passerelle - aéroport"" a été déplacée du sous-groupe 121 au sous-groupe 7420."
122,Personnel administratif et de réglementation,B,1001,Directeurs / directrices des services administratifs,0,"Le sous-groupe 122 a été divisé. L'appellation d'emploi ""greffier / greffière d'un tribunal"" a été déplacée du sous-groupe 122 au sous-groupe 1001."
,,,1210,Personnel administratif et de réglementation,2,"Le sous-groupe 122 a été divisé. Les groupes de base 1222 (maintenant 12100), 1223 (maintenant 12101), 1225 (maintenant 12102) et 1226 (maintenant 12103) et les appellations d'emploi liées aux agents de l'assurance-emploi et aux revenus ont été déplacés du sous-groupe 122 au sous-groupe 1210."
,,,1310,"Agents / agentes d'administration, de gestion immobilière et de la paye",3,Le sous-groupe 122 a été divisé. Les groupes de base 1221 (maintenant 13100) et 1224 (maintenant 131001) ont été déplacés du sous-groupe 122 au sous-groupe 1310.
,,,1410,Personnel de soutien de bureau et des services judiciaires,4,Le sous-groupe 122 a été divisé. Les appellations d'emploi liées aux postes de constable judiciaire et administrateur d'un tribunal ont été déplacés du sous-groupe 122 au sous-groupe 1410.
,,,4220,"Personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement",2,Le sous-groupe 122 a été divisé. Les appellations d'emploi liées aux juges de paix ont été déplacés du sous-groupe 122 au sous-groupe 4220.
,,,4320,Personnel de soutien en protection juridique et publique,3,"Le sous-groupe 122 a été divisé. Les appellations d'emploi liées aux agents de l’immigration, des douanes, et de services frontaliers ont été déplacés du sous-groupe 122 au sous-groupe 4320."
124,"Adjoints administratifs / adjointes administratives de bureau - général, juridique et médical",B,1311,"Adjoints administratifs / adjointes administratives de bureau - général, juridique et médical",3,s.o.
125,"Sténographes judiciaires, transcripteurs / transcriptrices, techniciens / techniciennes à la gestion des documents et agents / agentes de statistiques",B,1211,"Sténographes judiciaires, transcripteurs / transcriptrices, techniciens / techniciennes à la gestion des documents et agents / agentes de statistiques",2,s.o.
131,"Personnel en finance, assurance et personnel assimilé en administration des affaires",B,1220,"Personnel en comptabilité, assurance et personnel assimilé en administration des affaires",2,"Le sous-groupe 131 a été divisé. Les groupes de base 1311 (maintenant 12200), 1312 (maintenant 12201), 1313 (maintenant 12202) et 1314 (maintenant 12203) ont été déplacés du sous-groupe 131 au sous-groupe 1220."
,,,1320,Coordonnateur / coordonnatrice de la logistique de la production et du transport et courtiers / courtières en douanes et autres professions courtiers / courtières,3,Le sous-groupe 131 a été divisé. Le groupe de base 1315 (maintenant 13200) a été déplacé du sous-groupe 131 au sous-groupe 13200.
141,Personnel au travail général de bureau,C,1410,Personnel de soutien de bureau et des services judiciaires,4,Étiquette modifiée.
142,Commis en bureautique et en éditique,C,1411,"Personnel des enquêtes, des statistiques et de la saisie de données",4,Étiquette modifiée.
143,"Finance, assurance et personnel de soutien administratif",C,1310,"Agents / agentes d'administration, de gestion immobilière et de la paye",3,Le sous-groupe 143 a été divisé. Le groupe de base 1432 (maintenant 13102) a été déplacé du sous-groupe 143 au sous-groupe 1310.
,,,1420,"Finance, assurance et personnel de soutien administratif",4,"Le sous-groupe 143 a été divisé. Les groupes de base 1431 (maintenant 14200), 1434 (maintenant 14201) et 1435 (maintenant 14202) ont été déplacés du sous-groupe 143 au sous-groupe 1420."
145,"Commis de bibliothèque, de correspondance et autres commis",C,1411,"Personnel des enquêtes, des statistiques et de la saisie de données",4,Le sous-groupe 145 a été divisé. Le groupe de base 1454 (maintenant 14110) a été déplacé du sous-groupe 145 au sous-groupe 1411.
,,,1430,"Commis de bibliothèque, de correspondance et autres commis",4,Le sous-groupe 145 a été divisé. Les groupes de base 1451 (maintenant 14300) et 1452 (maintenant 14301) ont été déplacés du sous-groupe 145 au sous-groupe 1430.
151,Personnel au courrier et à la distribution de messages,C,6440,Représentants / représentantes aux services à la clientèle et services d'information,4,Le sous-groupe 151 a été divisé. Les appellations d'emploi liées aux commis et aux travailleurs des postes ont été déplacés du sous-groupe 151 au sous-groupe 6440.
,,,7410,Personnel au courrier et à la distribution de messages,4,Le sous-groupe 151 a été divisé. Le groupe de base 1512 (maintenant 74101) et les appellations d'emploi liées aux trieur de courrier ont été déplacés du sous-groupe 151 au sous-groupe 7410.
,,,7520,"Chauffeurs / chauffeuses de taxi, de service personnel et de livraison",5,Le sous-groupe 151 a été divisé. Les appellations d'emploi liées aux distributeurs de porte-à-porte ont été déplacés du sous-groupe 151 au sous-groupe 7520.
152,"Personnel en logistiques de chaîne d'approvisionnement, en suivi et en coordination d'horaires",C,1320,Coordonnateur / coordonnatrice de la logistique de la production et du transport et courtiers / courtières en douanes et autres professions courtiers / courtières,3,Les appellations d'emploi liées au coordonnateurs dans la logistique de production ont été déplacés du sous-groupe 152 au sous-groupe 1320.
,,,1440,"Personnel en logistiques de chaîne d'approvisionnement, en suivi et en coordination d'horaires",4,"Les groupes de base 1512 (maintenant 14400), 1522 (maintenant 14401), 1523 (maintenant 14402), 1524 (maintenant 14403), 1525 (maintenant 14404) et 1526 (maintenant 14405) ont été déplacés du sous-groupe 152 au sous-groupe  1440."
211,Professionnels / professionnelles des sciences physiques,A,2110,Professionnels / professionnelles des sciences physiques,1,s.o.
212,Professionnels / professionnelles des sciences de la vie,A,2111,Professionnels / professionnelles des sciences de la vie,1,s.o.
213,"Professionnels / professionnelles en génie civil, mécanique, électrique et chimique",A,2130,Ingénieurs civils et mécaniciens / ingénieures civiles et mécaniciennes,1,Le sous-groupe 213 a été divisé. Les groupes de base 2131 (maintenant 21300) et 2132 (maintenant 21301) ont été déplacés du sous-groupe 213 au sous-groupe 2130.
,,,2131,"Ingénieurs électriciens, électroniciens et informaticiens / ingénieures électriciennes, électroniciennes et informaticiennes",1,Le sous-groupe 213 a été divisé. Le groupe de base 2133 (maintenant 21310) a été déplacé du sous-groupe 213 au sous-groupe 2131.
,,,2132,Ingénieurs / ingénieures en fabrication et en traitement,1,Le sous-groupe 213 a été divisé. Le groupe de base 2134 (maintenant 21320) a été déplacé du sous-groupe 213 au sous-groupe 2132.
214,Autres professionnels / professionnelles en génie,A,2131,"Ingénieurs électriciens, électroniciens et informaticiens / ingénieures électriciennes, électroniciennes et informaticiennes",1,Le sous-groupe 214 a été divisé. Le groupe de base 2147 (maintenant 21311) a été déplacé du sous-groupe 214 au sous-groupe 2131.
,,,2132,Ingénieurs / ingénieures en fabrication et en traitement,1,Le sous-groupe 214 a été divisé. Les groupes de base 2141 (maintenant 21321) et 2142 (maintenant 21322) ont été déplacés du sous-groupe au sous-groupe 2132.
,,,2133,Ingénieurs / ingénieures en ressources naturelles,1,"Le sous-groupe 214 a été divisé. Les groupes de base 2143 (maintenant 21330), 2144 (maintenant 21331) et 2145 (maintenant 21332) ont été déplacés du sous-groupe 214 au sous-groupe 2133."
,,,2139,Autres professionnels / professionnelles en génie,1,Le sous-groupe 214 a été divisé. Les groupes de base 2146 (maintenant 21390) et 2148 (maintenant 21399) ont été déplacés du sous-groupes 214 au sous-groupe 2139.
215,"Professionnels / professionnelles en architecture, en urbanisme et en arpentage",A,2120,"Professionnels / professionnelles en architecture, en urbanisme et en arpentage",1,s.o.
216,"Mathématiciens / mathématiciennes, statisticiens / statisticiennes et actuaires",A,2121,"Mathématiciens / mathématiciennes, statisticiens / statisticiennes, actuaires et scientifique de données",1,Étiquette modifiée.
217,Professionnels / professionnelles en informatique,A,2121,"Mathématiciens / mathématiciennes, statisticiens / statisticiennes, actuaires et scientifique de données",1,"Le sous-groupe 217 a été divisé. Les appellations d'emploi liées à l'analyse et conseil de l'intelligence artificielle, scientifiques de données, explorateur de données et la conception d'intelligence artificielle ont été déplacés du sous-groupe 217 au sous-groupe 2121."
,,,2122,Professionnels / professionnelles en informatique,1,"Le sous-groupe 217 a été divisé. Les groupes de base 2171 (maintenant 21220, 21221 et 21222) et 2172 (maintenant 21223) ont été déplacés du sous-groupe 217 au sous-groupe 2122."
,,,2123,"Concepteurs / conceptrices et développeurs / développeuses en informatique, logiciel et Web",1,"Le sous-groupe 217 a été divisé. Les groupes de base 2173 (maintenant 21231), 2174 (maintenant 21230 et 21232), et 2175 (maintenant 21233 et 21234) ont été déplacés du sous-groupe 217 au sous-groupe 2123."
221,Personnel technique des sciences physiques,B,2210,Personnel technique des sciences physiques,2,s.o.
222,Personnel technique des sciences de la vie,B,2211,Personnel technique des sciences de la vie,2,s.o.
223,"Personnel technique en génie civil, mécanique et industriel",B,2230,"Personnel technique en génie civil, mécanique et industriel",2,s.o.
224,Personnel technique en génie électronique et électrique,B,2231,Personnel technique en génie électronique et électrique,2,s.o.
225,"Personnel technique en architecture, en dessin, en arpentage, en géomatique et en météorologie",B,2221,"Personnel technique en architecture, en dessin, en arpentage, en géomatique et en météorologie",2,s.o.
226,Autres contrôleurs / contrôleuses techniques et officiers / officières de réglementation,B,2112,Professionnels / professionnelles de la santé et sécurité publique et environnementale,1,Les appellations d'emploi liées à la santé et sécurité publique et environnementale ont été déplacés du sous-groupe 226 au sous-groupe 2112.
,,,2223,Contrôleurs / contrôleuses techniques et officiers / officières de réglementation,2,"Les groupes de base 2261 (maintenant 22230), 2262 (maintenant 22231), 2263 (maintenant 22232) et 2264 (maintenant 22233) ont été déplacés du sous-groupe 226 au sous-groupe 2223."
227,Officiers / officières et contrôleurs / contrôleuses des services de transport,B,7260,Officiers / officières et contrôleurs / contrôleuses des services de transport,2,"Le sous-groupe a été déplacé vers la GCP 7 - Métiers, transport, machinerie et domaines apparentés. Étiquette modifiée."
228,Personnel technique en informatique,B,2222,Personnel technique en informatique,2,L'étiquette française de ce sous-groupe a été modifiée.
301,Personnel professionnel en soins infirmiers,A,3130,Professionnels des soins infirmiers et paramédicaux,1,Étiquette modifiée.
311,"Médecins, dentistes et vétérinaires",A,3110,Médecins et vétérinaires,1,"Le sous-groupe 311 a été divisé. Les groupes de base 3111 (maintenant 31100 et 31101), 3112 (maintenant 31102) et 3114 (maintenant 31103) ont été déplacés du sous-groupe 311 au sous-groupe 3110."
,,,3111,"Dentistes, optométristes et audiologistes",1,Le sous-groupe 311 a été divisé. Le groupe de base 3113 (maintenant 31110) a été déplacé du sous-groupe 311 au sous-groupe 3111.
312,"Optométristes, chiropraticiens / chiropraticiennes et autres professionnels / professionnelles en diagnostic et en traitement de la santé",A,3111,"Dentistes, optométristes et audiologistes",1,Le sous-groupe 312 a été divisé. Le groupe de base 3121 (maintenant 31111) a été déplacé du sous-groupe 312 au sous-groupe 3111.
,,,3120,Professionnels / professionnelles en thérapie et en évaluation,1,Le sous-groupe 312 a été divisé. Le groupe de base 3122 (maintenant 31201) et les appellations d'emploi liées aux professionnels en diagnostic et en traitement de la santé ont été déplacés du sous-groupe 312 au sous-groupe 3120.
,,,3130,Professionnels des soins infirmiers et paramédicaux,1,Le sous-groupe 312 a été divisé. Le groupe de base 3124 (maintenant 31302 et 31303) a été déplacé du sous-groupe 312 au sous-groupe 3130.
,,,3210,Personnel technique en thérapie et en diagnostic,2,"Le sous-groupe 312 a été divisé.  L'appellation d'emploi ""assistants en anesthésie"" a été déplacée du sous-groupe 312 au sous-groupe 3210."
313,"Pharmaciens / pharmaciennes, diététistes et nutritionnistes",A,3112,Pharmaciens / pharmaciennes et diététistes,1,Étiquette modifiée.
314,Professionnels / professionnelles en thérapie et en évaluation,A,3111,"Dentistes, optométristes et audiologistes",1,Le sous-groupe 314 a été divisé. Le groupe de base 3141 (maintenant 31112) a été déplacé du sous-groupe 314 au sous-groupe 3111.
,,,3120,Professionnels / professionnelles en thérapie et en évaluation,1,"Le sous-groupe 314 a été divisé. Les groupes de base 3142 (maintenant 31202), 3143 (maintenant 31203) et 3144 (maintenant 31204) ont été déplacés du sous-groupe 314 au sous-groupe 3120."
,,,3210,Personnel technique en thérapie et en diagnostic,2,Le sous-groupe 314 a été divisé. Les appellations d'emploi liées aux autres personnel technique en thérapie et en diagnostic ont été déplacés du sous-groupe 314 au sous-groupe 3210.
,,,4130,Professionnels / professionnelles des services sociaux et communautaires,1,Le sous-groupe 314 a été divisé. Les appellations d'emploi liées à l'art-thérapie ont été déplacés du sous-groupe 314 au sous-groupe 4130.
321,Technologues et techniciens / techniciennes des sciences de la santé (sauf soins dentaires),B,3130,Professionnels des soins infirmiers et paramédicaux,1,Le sous-groupe 321 a été divisé. Les appellations d'emploi liées aux assistants en pathologie ont été déplacés du sous-groupe 321 au sous-groupe 3130.
,,,3210,Personnel technique en thérapie et en diagnostic,2,Le sous-groupe 321 a été divisé. Les groupes de base 3213 (maintenant 32104) et 3214 (maintenant 32103) ont été déplacés du sous-groupe 321 au sous-groupe 3210.
,,,3212,Technologues et techniciens / techniciennes des sciences de la santé,2,"Le sous-groupe 321 a été divisé. Les groupes de base 3211 (maintenant 32120), 3215 (maintenant 32121), 3216 (maintenant 32122), 3217 (maintenant 32123) et 3219 (maintenant 32124 et 32129) ont été déplacés du sous-groupe 321 au sous-groupe 3212."
,,,3310,Personnel de soutien des services de santé,3,Le sous-groupe 321 a été divisé. Les appellations d'emploi liées aux assistants de laboratoires médicaux et préposés techniques reliés ont été déplacés du sous-groupe 321 au sous-groupe 3310.
322,Personnel technique en soins dentaires,B,3211,Personnel technique en soins dentaires,2,"Les groupes de base 3221 (maintenant 32110), 3222 (maintenant 32111) et 32112 (maintenant 3223) ont été déplacés du sous-groupe 322 au sous-groupe 3211."
,,,3310,Personnel de soutien des services de santé,3,Les appellations d'emploi liées aux assistants dentaires et auxiliaires dans les laboratoires dentaires ont été déplacés du sous-groupe 322 au sous-groupe 3310.
323,Personnel technique en soins de santé,B,3210,Personnel technique en thérapie et en diagnostic,2,"Le sous-groupe 323 a été divisé. Les groupes de base 3231 (maintenant 32100), 3233 (maintenant 32101), 3234 (maintenant 32102) et 3237 (maintenant 32109) ont été déplacés du sous-groupe 323 au sous-groupe 3210."
,,,3220,Praticiens / praticiennes des médecines douces,2,Le sous-groupe 323 a été divisé. Les groupes de base 3232 (maintenant 32200 et 32209) et 3236 (maintenant 32201) ont été déplacés du sous-groupe 323 au sous-groupe 3220.
,,,3310,Personnel de soutien des services de santé,3,Le sous-groupe 323 a été divisé. Les appellations d'emploi liées aux assistants en ophtalmologie et assistants en audiométrie ont été déplacés du sous-groupe 323 au sous-groupe 3310.
341,Personnel de soutien des services de santé,C,3210,Personnel technique en thérapie et en diagnostic,2,Les appellations d'emploi liées aux assistants en réadaptation et en thérapie ont été déplacés du sous-groupe 341 au sous-groupe 3210.
,,,3310,Personnel de soutien des services de santé,3,"Les groupes de base 3411 (maintenant 33100), 3413 (maintenant 33102) et 3414 (maintenant 33109) ont été déplacés du sous-groupe 341 au sous-groupe 3310."
401,Professeurs / professeures d'université et assistants / assistantes d'enseignement au niveau postsecondaire,A,4120,Professeurs / professeures d'université et assistants / assistantes d'enseignement au niveau postsecondaire,1,s.o.
402,Enseignants / enseignantes au niveau collégial et autres instructeurs / instructrices en formation professionnelle,A,4121,Enseignants / enseignantes au niveau collégial et autres instructeurs / instructrices en formation professionnelle,1,s.o.
403,"Enseignants / enseignantes aux niveaux secondaire, primaire et préscolaire et conseillers / conseillères d'orientation",A,4122,"Enseignants / enseignantes aux niveaux secondaire, primaire et préscolaire",1,Le sous-groupe 403 a été divisé. Les groupes de base 4031 (maintenant 41220) et 4032 (maintenant 41221) ont été déplacés du sous-groupe 403 au sous-groupe 4122.
,,,4132,Conseillers / conseillères en information scolaire et en emploi,1,Le sous-groupe 403 a été divisé. Le groupe de base 4033 (maintenant 41320) a été déplacé du sous-groupe 403 au sous-groupe 4132.
411,"Juges, avocats / avocates (partout au Canada) et notaires (au Québec)",A,4110,"Juges, avocats / avocates (partout au Canada) et notaires (au Québec)",1,s.o.
415,Professionnels / professionnelles des services sociaux et communautaires,A,3120,Professionnels / professionnelles en thérapie et en évaluation,1,Le sous-groupe 415 a été divisé. Le groupe de base 4151 (maintenant 31200) a été déplacé du sous-groupe 415 au sous-groupe 3120.
,,,3130,Professionnels des soins infirmiers et paramédicaux,1,"Le sous-groupe 415 a été divisé. L'appellation d'emploi ""conseiller / conseillère en génétique"" a été déplacée du sous-groupe 415 au sous-groupe 3130."
,,,4130,Professionnels / professionnelles des services sociaux et communautaires,1,"Le sous-groupe 415 a été divisé. Les groupes de base 4152 (maintenant 41300), 4153 (maintenant 41301) et 4154 (maintenant 413002) ont été déplacés du sous-groupe 415 au sous-groupe 4130."
,,,4131,Enquêteurs / enquêteuses de police et agents / agentes de probation,1,Le sous-groupe 415 a été divisé. Le groupe de base 4155 (maintenant 41311) a été déplacé du sous-groupe 415 au sous-groupe 4131.
,,,4132,Conseillers / conseillères en information scolaire et en emploi,1,"Le sous-groupe 415 a été divisé. L'appellation d'emploi ""conseiller / conseillère professionnelle"" a été déplacée du sous-groupe 415 au sous-groupe 4132."
,,,4220,"Personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement",2,Le sous-groupe 415 a été divisé. Les appellations d'emploi liées aux agents chargés de cas dans un centre correctionnel ont été déplacés du sous-groupe 415 au sous-groupe 4220.
416,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes des politiques et des programmes",A,1120,Professionnels / professionnelles en gestion des ressources humaines et en services aux entreprises,1,"L'appellation d'emploi ""consultant / consultante en marketing"" a été déplacée du sous-groupe 416 au sous-groupe 1120."
,,,2111,Professionnels / professionnelles des sciences de la vie,1,Les appellations d'emploi liées à la recherche clinique ont été déplacés du sous-groupe 416 au sous-groupe 2111.
,,,4131,Enquêteurs / enquêteuses de police et agents / agentes de probation,1,"L'appellation d'emploi ""coroner"" a été déplacée du sous-groupe 416 au sous-groupe 4131."
,,,4140,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes des politiques et des programmes",1,"Les groupes de base 4161 (maintenant 41400), 4162 (maintenant 41401), 4163 (maintenant 41402), 4164 (maintenant 41403), 4165 (maintenant 41404), 4166 (maintenant 41405), 4167 (maintenant 41406), 4168 (maintenant 41407) et 4169 (maintenant 41409) ont été déplacés du sous-groupe 416 au sous-groupe 4140."
421,"Personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement",B,4220,"Personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement",2,"Le sous-groupe 421 a été divisé. Les groupes de base 4211 (maintenant 42200), 4212 (maintenant 42201), 4214 (maintenant 42202), 4215 (maintenant 42203) et 4217 (maintenant 42204) ont été déplacés du sous-groupe 421 au sous-groupe 4220."
,,,4310,Professionnels / professionnelles des services sociaux et communautaires,3,Le sous-groupe 421 a été divisé. Le groupe de base 4216 (maintenant 43109) a été déplacé du sous-groupe 421 au sous-groupe 4310.
431,Personnel des services de protection publique de première ligne,B,4131,Enquêteurs / enquêteuses de police et agents / agentes de probation,1,Le sous-groupe 431 a été divisé. Les appellations d'emploi liées aux enquêteurs de police ont été déplacés du sous-groupe 431 au sous-groupe 4131.
,,,4210,Personnel des services de protection publique de première ligne,2,Le sous-groupe 431 a été divisé. Les groupes de base 4311 (maintenant 42100) et 4312 (maintenant 42101) et les appellations d'emploi liées aux professions militaires qui typiquement exigent des études collégiales ou une formation d'apprenti de 2 années et plus ont été déplacés du sous-groupe 431 au sous-groupe 4210.
,,,4320,Personnel de soutien en protection juridique et publique,3,Le sous-groupe 431 a été divisé. Les appellations d'emploi liées aux professions militaires qui typiquement exigent des études collégiales ou une formation d'apprenti de moins de 2 années ont été déplacés du sous-groupe 431 au sous-groupe 4320.
,,,4420,Combattants / combattantes de première ligne des Forces armées canadiennes,3,Le sous-groupe 431 a été divisé. Les appellations d'emploi liées aux professions militaires qui typiquement n'exigent pas des études collégiales ni de formation d'apprenti ont été déplacés du sous-groupe 431 au sous-groupe 4420.
441,Dispensateurs / dispensatrices de soins en milieu familial et personnel de soutien en enseignement,C,4310,Personnel de soutien en éducation,3,Le sous-groupe 441 a été divisé. Le groupe de base 4413 (maintenant 43100) a été déplacé du sous-groupe 441 au sous-groupe 4310.
,,,4410,Prestataires de soins à domicile,4,Le sous-groupe 441 a été divisé. Les groupes de base 4411 (maintenant 44100) et 4412 (maintenant 44101) ont été déplacés du sous-groupe 441 au sous-groupe 4410.
,,,4510,"Surveillants / surveillantes d’élèves, brigadiers / brigadières et autres professions connexes",5,Le sous-groupe 441 a été divisé. Les appellations d'emploi liées au surveillants d’élèves ont été déplacés du sous-groupe 441 au sous-groupe 4510.
,,,6531,Nettoyeurs / nettoyeuses,5,"Le sous-groupe 441 a été divisé. Les appellations d'emplois ""aide ménager / aide ménagère"" et ""aide domestique"" ont été déplacés du sous-groupe 441 au sous-groupe 6531."
442,Personnel juridique et de soutien des services de protection publique,C,4320,Personnel de soutien en protection juridique et publique,3,Étiquette modifiée.
511,"Professionnels / professionnelles des bibliothèques, des archives, des musées et des galeries d'art",A,5110,"Professionnels / professionnelles des bibliothèques, des archives, des musées et des galeries d'art",1,s.o.
512,"Professionnels / professionnelles de la rédaction, de la traduction et personnel professionnel assimilé des communications",A,5111,"Professionnels / professionnelles de la rédaction, de la traduction et personnel professionnel assimilé des communications",1,s.o.
