NOC 2016 Code (3-digit),NOC 2016 Label,NOC 2016 Skill level,NOC 2021 Code (4-digit),NOC 2021 Label,NOC 2021 TEER,Description
,,,2132,Manufacturing and processing engineers,1,Minor group 214 was split. Unit groups 2141 (now 21321) and 2142 (now 21322) moved from minor group to 2132.
,,,2133,Natural resources engineers,1,"Minor group 214 was split. Unit groups 2143 (now 21330), 2144 (now 21331) and 2145 (now 21332) moved from minor group 214 to 2133."
,,,2139,Other engineers,1,Minor group 214 was split. Unit groups 2146 (now 21390) and 2148 (now 21399) moved from minor group 214 to 2139.
215,"Architects, urban planners and land surveyors",A,2120,"Architects, urban planners and land surveyors",1,N/A
216,"Mathematicians, statisticians and actuaries",A,2121,"Mathematicians, statisticians, actuaries and data scientists",1,Label modified.
217,Computer and information systems professionals,A,2121,"Mathematicians, statisticians, actuaries and data scientists",1,"Minor group 217 was split. Job titles related to AI analysis and consulting, data scientist, data miner, and artificial intelligence (AI) designer moved from minor group 217 to 2121."
,,,2122,Computer and information systems professionals,1,"Minor group 217 was split. Unit groups 2171 (now 21220, 21221 and 21222) and 2172 (now 21223) moved from minor group 217 to 2122."
,,,2123,"Computer, software and Web designers and developers",1,"Minor group 217 was split. Unit groups 2173 (now 21231), 2174 (now 21230 and 21232), and 2175 (now 21233 and 21234) moved from minor group 217 to 2123."
221,Technical occupations in physical sciences,B,2210,Technical occupations in physical sciences,2,N/A
222,Technical occupations in life sciences,B,2211,Technical occupations in life sciences,2,N/A
223,"Technical occupations in civil, mechanical and industrial engineering",B,2230,"Technical occupations in civil, mechanical and industrial engineering",2,N/A
224,Technical occupations in electronics and electrical engineering,B,2231,Technical occupations in electronics and electrical engineering,2,N/A
225,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology",B,2221,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology",2,N/A
226,Other technical inspectors and regulatory officers,B,2112,Public and environmental health and safety professionals,1,Job titles related to public and environmental health and safety moved from minor group 226 to 2112.
,,,2223,Technical inspectors and regulatory officers,2,"Unit groups 2261 (now 22230), 2262 (now 22231), 2263 (now 22232) and 2264 (now 22233) moved from minor group 226 to 2223."
227,Transportation officers and controllers,B,7260,Transportation officers and controllers,2,"Minor group moved to BOC 7 - Trades, transport and equipment operators and related occupations."
228,Technical occupations in computer and information systems,B,2222,Technical occupations in computer and information systems,2,French label of this minor group has been modified.
301,Professional occupations in nursing,A,3130,Nursing and allied health professionals,1,Label modified.
311,"Physicians, dentists and veterinarians",A,3110,Physicians and veterinarians,1,"Minor group 311 was split. Unit groups 3111 (now 31100 and 31101), 3112 (now 31102) and 3114 (now 31103) moved from minor group 311 to 3110."
,,,3111,"Dentists, optometrists and audiologists",1,Minor group 311 was split. Unit group 3113 (now 31110) moved from minor group 311 to 3111.
312,"Optometrists, chiropractors and other health diagnosing and treating professionals",A,3111,"Dentists, optometrists and audiologists",1,Minor group 312 was split. Unit group 3121 (now 31111) moved from minor group 312 to 3111.
,,,3120,Therapy and assessment professionals,1,Minor group 312 was split. Unit group 3122 (now 31201) and job titles related to professional occupations in health diagnosing and treating moved from minor group 312 to 3120.
,,,3130,Nursing and allied health professionals,1,Minor group 312 was split. Unit group  3124 (now 31302 and 31303) moved from minor group 312 to 3130.
,,,3210,Technical occupations in therapy and assessment,2,Minor group 312 was split. Job title anesthesia assistant moved from minor group 312 to 3210.
313,"Pharmacists, dietitians and nutritionists",A,3112,Pharmacists and dietitians,1,Label modified.
314,Therapy and assessment professionals,A,3111,"Dentists, optometrists and audiologists",1,Minor group 314 was split. Unit group 3141 (now 31112) moved from minor group 314 to 3111.
,,,3120,Therapy and assessment professionals,1,"Minor group 314 was split. Unit groups 3142 (now 31202), 3143 (now 31203) and 3144 (now 31204) moved from minor group 314 to 3120."
,,,3210,Technical occupations in therapy and assessment,2,"Minor group 314 was split. Job title ""Physical rehabilitation therapist"" moved from minor group 314 to 3210."
,,,4130,Social and community service professionals,1,Minor group 314 was split. Job titles related to art therapy moved from minor group 314 to 4130.
321,Medical technologists and technicians (except dental health),B,3130,Nursing and allied health professionals,1,Minor group 321 was split. Job titles related to pathologist assistant moved from minor group 321 to 3130.
,,,3210,Technical occupations in therapy and assessment,2,Minor group 321 was split. Unit groups 3213 (now 32104) and 3214 (now 32103) moved from minor group 321 to 3210.
,,,3212,Medical technologist and technicians,2,"Minor group 321 was split. Unit groups 3211 (now 32120), 3215 (now 32121), 3216 (now 32122), 3217 (now 32123) and 3219 (now 32124 and 32129) moved from minor group 321 to 3212."
,,,3310,Assisting occupations in support of health services,3,Minor group 321 was split. Job titles related to medical laboratory assistants and related technical occupations and pharmacy technical assistant moved from minor group 321 to 3310.
322,Technical occupations in dental health care,B,3211,Technical occupations in dental health care,2,"Unit groups 3221 (now 32110), 3222 (now 32111) and 32112 (now 3223) moved from minor group 322 to 3211."
,,,3310,Assisting occupations in support of health services,3,Job titles related to dental assistant and dental laboratory assistant moved from minor group 322 to 3310.
323,Other technical occupations in health care,B,3210,Technical occupations in therapy and assessment,2,"Minor group 323 was split. Unit groups 3231 (now 32100), 3233 (now 32101), 3234 (now 32102) and 3237 (now 32109) moved from minor group 323 to 3210."
,,,3220,Practitioners of natural healing,2,Minor group 323 was split. Unit groups 3232 (now 32200 and 32209) and 3236 (now 32201) moved from minor group 323 to 3220.
,,,3310,Assisting occupations in support of health services,3,Minor group 323 was split. Job titles related to ophthalmic assistant and audiometric technician moved from minor group 323 to 3310.
341,Assisting occupations in support of health services,C,3210,Technical occupations in therapy and assessment,2,Job titles related to rehabilitation and therapy assistants moved from minor group 341 to 3210.
,,,3310,Assisting occupations in support of health services,3,"Unit groups 3411 (now 33100), 3413 (now 33102) and 3414 (now 33109) moved from minor group 341 to 3310."
401,University professors and post-secondary assistants,A,4120,University professors and post-secondary assistants,1,N/A
402,College and other vocational instructors,A,4121,College and other vocational instructors,1,N/A
403,Secondary and elementary school teachers and educational counsellors,A,4122,"Secondary, elementary and kindergarten school teachers",1,Minor group 403 was split. Unit groups 4031 (now 41220) and 4032 (now 41221) moved from minor 403 to 4122.
,,,4132,Educational and employment counsellors,1,Minor group 403 was split. Unit group 4033 (now 41320) moved from minor group 403 to 4132.
411,"Judges, lawyers and Quebec notaries",A,4110,"Judges, lawyers and Quebec notaries",1,
415,Social and community service professionals,A,3120,Therapy and assessment professionals,1,Minor group 415 was split. Unit group 4151 (now 31200) moved from minor group 415 to 3120.
,,,3130,Nursing and allied health professionals,1,"Minor group 415 was split. Job title ""Genetic counsellor"" moved from minor group 415 to 3130."
,,,4130,Social and community service professionals,1,"Minor group 415 was split. Unit groups 4152 (now 41300), 4153 (now 41301) and 4154 (now 413002) moved from minor group 415 to 4130."
,,,4131,Police investigators and probation officers,1,Minor group 415 was split. Unit group 4155 (now 41311) moved from minor group 415 to 4131.
,,,4132,Educational and employment counsellors,1,"Minor group 415 was split. Job title ""vocational counsellors"" moved from minor group 415 and 4132."
,,,4220,"Paraprofessional occupations in legal, social, community and education services",2,Minor group 415 was split. Job titles related to correctional case worker and manager moved from minor group 415 to 4220.
416,"Policy and program researchers, consultants and officers",A,1120,Human resources and business service professionals,1,"Job title ""Marketing consultant"" moved from minor group 416 to 1120."
,,,2111,Life science professionals,1,Job titles related to clinical research moved from minor group 416 to 2111.
,,,4131,Police investigators and probation officers,1,"Job title ""coroner"" moved from minor group 416 to 4131."
,,,4140,"Policy and program researchers, consultants and officers",1,"Unit groups 4161 (now 41400), 4162 (now 41401), 4163 (now 41402), 4164 (now 41403), 4165 (now 41404), 4166 (now 41405), 4167 (now 41406), 4168 (now 41407) and 4169 (now 41409) moved from minor group 416 to 4140."
421,"Paraprofessional occupations in legal, social, community and education services",B,4220,"Paraprofessional occupations in legal, social, community and education services",2,"Minor group 421 was split. Unit groups 4211 (now 42200), 4212 (now 42201), 4214 (now 42202), 4215 (now 42203) and 4217 (now 42204) moved from minor group 421 to 4220."
,,,4310,Assisting occupations in education,3,Minor group 421 was split. Unit group 4216 (now 43109) moved from minor group 421 to 4310.
431,Occupations in front-line public protection services,B,4131,Police investigators and probation officers,1,Minor group 431 was split. Job titles related to police investigator moved from minor group 431 to 4131.
,,,4210,Occupations in front-line public protection services,2,Minor group 431 was split. Unit groups 4311 (now 42100) and 4312 (now 42101) and job titles for military occupations requiring college education or apprenticeship or 2 years or more moved from minor group 431 to 4210.
,,,4320,Assisting occupations in legal and public protection,3,Minor group 431 was split. Job titles for military occupations requiring a college certificate or apprenticeship of less than 2 years moved from minor group 431 to 4320.
,,,4420,Primary combat members of the Canadian Armed Forces,3,Minor group 431 was split. Job titles for military occupations NOT requiring college education or apprenticeship moved from minor group 431 to 4420.
441,Home care providers and educational support occupations,C,4310,Assisting occupations in education,3,Minor group 441 was split. Unit group 4413 (now 43100) moved from minor group 441 to 4310.
,,,4410,Home care provider occupations,4,Minor group 441 was split. Unit groups 4411 (now 44100) and 4412 (now 44101) moved from minor group 441 to 4410.
,,,4510,"Students monitors, crossing guards and related occupations",5,Minor group 441 was split. Job titles related to student monitors moved from minor group 441 to 4510.
,,,6531,Cleaners,5,"Minor group 441 was split. Job titles ""Housekeepers"" and ""Domestic housekeepers"" moved from minor group 441 to 6531."
442,Legal and public protection support occupations,C,4320,Assisting occupations in legal and public protection,3,Label modified.
511,"Librarians, archivists, conservators and curators",A,5110,"Librarians, archivists, conservators and curators",1,N/A
512,"Writing, translating and related communications professionals",A,5111,"Writing, translating and related communications professionals",1,N/A
513,Creative and performing artists,A,5112,Creative and performing artists,1,"Minor group 513 was split. Unit groups 5131 (now 51120), 5132 (now 51121) and 5133 (now 51122) moved from minor group 513 to 5112."
,,,5312,Occupations in creative and performing art,3,"Minor group 513 was split. Unit groups 5134 (now 51320), 5135 (now 51321) and 5136 (now 53122) moved from minor group 513 to 5312."
521,"Technical occupations in libraries, public archives, museums and art galleries",B,5210,Technical occupations in libraries and public archives,2,Minor group 521 was split. Unit group 5211 (now 52100) moved from minor group 521 to 5210.
,,,5310,Occupations related to museums and art galleries,3,Minor group 521 was split. Unit group 5212 (now 53100) moved from minor group 521 to 5310.
522,"Photographers, graphic art technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",B,5211,"Technical occupations in motion pictures, broadcasting and the performing arts",2,"Minor group 522 was split. Unit groups 5222 (now 52110), 5223 (now 52111), 5224 (now 52112), 5225 (now 52113) and 5226 (now 52119) moved from minor group 522 to 5211."
,,,5311,Photographers and support occupations in arts and culture,3,Minor group 522 was split. Unit groups 5221 (now 53110) and 5227 (now 53111) moved from minor group 522 to 5311.
523,"Announcers and other performers, n.e.c.",B,5211,"Technical occupations in motion pictures, broadcasting and the performing arts",2,Minor group 523 was split. Unit group 5231 (now 52114) moved from minor group 523 to 5211.
,,,5312,Occupations in creative and performing art,3,Minor group 523 was split. Job titles related to circus performance moved from minor group 523 to 5132.
,,,5510,Support occupations in art and culture,5,Minor group 523 was split. Unit group 5232 (now 55109) moved from minor group 523 to 5510.
524,Creative designers and craftspersons,B,5212,Graphic and interior designers,2,Minor group 524 was split. Unit groups 5241 (now 52120) and  5242 (now 52121) moved from minor group 524 to 5212.
,,,6201,Retail sales supervisors,2,"Minor group 524 was split. Job titles ""display designer supervisor"" and ""display design supervisor"" moved from minor group 524 to 6201."
,,,5312,Occupations in creative and performing art,3,"Minor group 524 was split. Unit groups 5243 (now 53123), 5244 (now 53124) and 5245 (now 53125) moved from minor group 524 to 5312."
,,,6410,Retail salespersons and non-technical wholesale trade sales and account representatives,4,"Minor group 524 was split. Job titles related to display design, styling, and visual merchandising moved from minor group 524 to 6410."
525,"Athletes, coaches, referees and related occupations",B,5320,"Athletes, coaches, referees and related occupations",3,"Minor group 525 was split. Unit groups 5251 (now 53200), 5252 (now 53201), and 5253 (now 53202) moved from minor group 525 to 5320."
,,,5410,"Program leaders and instructors in recreation, sport and fitness",4,Minor group 525 was split. Unit group 5254 (now 54100) moved from minor group 525 to 5410.
621,Retail sales supervisors,B,6201,Retail sales supervisors,2,N/A
622,Technical sales specialists in wholesale trade and retail and wholesale buyers,B,7001,Managers in construction and facility operation and maintenance,0,"Job titles ""Grain elevator district manager"", ""grain elevator manager"", and ""assistant grain elevator manager"" moved from minor group 622 to 7001."
,,,6210,Technical sales specialists in wholesale trade and retail and wholesale buyers,,Unit groups 6221 (now 62100) and 6222 (now 62101) moved from minor group 622 to 6210.
,,,7510,Longshore workers and material handlers,5,"Job title ""grain elevator operator"" moved from minor group 622 to 7510."
623,"Insurance, real estate and financial sales occupations",B,6310,"Insurance, real estate and financial sales occupations",3,N/A
631,Service supervisors,B,6202,Service supervisors,2,"Unit groups 6311 (now 62020), 6312 (now 62021), 6313 (now 62022), 6314 (now 62023), 6315 (now 62024) and 6316 (now 62029) moved from minor group 631 to 6202."
,,,6521,"Support occupations in accommodation, travel, tourism and amusement services",5,"Job titles ""Park supervisor"", ""Rink supervisor"", and ""Campground supervisor"" moved from minor group 631 to 6521."
632,Chefs and cooks,B,6220,Specialized occupations in services,2,Minor group 632 was split. Unit group 6321 (now 62200) moved from minor group 632 to 6220.
,,,6320,"Cooks, butchers and bakers",3,Minor group 632 was split. Unit group 6322 (now 63200) moved from minor group 632 to 6320.
633,Butchers and bakers,B,6320,"Cooks, butchers and bakers",3,Minor group 633 was split. Unit group 6332 (now 63202) and job titles related to butchers moved from minor group 633 to 6320.
,,,6520,Food support occupations,5,Minor group 633 was split. Job titles related to meat cutters and fishmongers moved from minor group 633 to 6520.
634,Specialized occupations in personal and customer service,B,6220,Specialized occupations in services,2,Minor group 634 was split. Unit groups 6344 (now 62202) and 6346 (now 62201) moved from minor group 634 to 6220.
,,,6321,Hairstylists and estheticians,3,Minor group 634 was split. Unit group 6341 (now 63210) moved from minor group 634 to 6321.
,,,6322,"Shoe repairers, shoemakers and upholsterers",3,Minor groups 634 was split. Unit groups 6343 (now 63220) and 6345 (now 63221) move from minor group 634 to 6322.
,,,6420,Occupations in personal service,4,Minor group 634 was split. Unit group 6342 (now 64200) moved from minor group 634 to 6420.
641,Sales and account representatives - wholesaletrade (non-technical),C,6210,Technical sales specialists in wholesale trade and retail and wholesale buyers,2,"Job titles ""grain merchandiser"" and ""livestock sales representative – wholesale"" moved from minor group 641 to 6210."
,,,6410,Retail salespersons and non-technical wholesale trade sales and account representatives,4,Unit group 6411 (now 64101) moved from minor group 641 to 6410.
642,Retail salespersons,C,6410,Retail salespersons and non-technical wholesale trade sales and account representatives,4,Label modified.
651,Occupations in food and beverage service,C,6430,Occupations in food and beverage service,4,Minor group 651 was split. Unit groups 6511 (now 6430) and 6512 (now 6430) moved from minor group 651 to 6430.
,,,6520,Food support occupations,5,Minor group 651 was split. Unit group 6513 (now 65200) moved from minor group 651 to 6520.
652,Occupations in travel and accommodation,C,6431,Occupations in travel and accommodation,5,N/A
653,Tourism and amusement services occupations,C,6432,Tourism and amusement services occupations,4,N/A
654,Security guards and related security service occupations,C,6441,Security guards and related security service occupations,4,Unit group 6541 (now 64410) moved from 654 to 6441.
,,,4510,"Students monitors, crossing guards and related occupations",5,"Job titles ""School crossing guard"", and ""crossing guard"" moved from minor group 654 to 4510."
,,,6532,Service support and related occupations,5,"Job title ""mystery shopper"" moved minor group from minor group 654 to 6532."
655,Customer and information services representatives,C,6440,Customer and information services representatives,4,N/A
656,Other occupations in personal service,C,6321,Hairstylists and estheticians,3,Minor group 656 was split. Unit group 6562 (now 63211) moved from minor group 656 to 6321.
,,,6420,Occupations in personal service,4,Minor group 656 was split. Unit group 6561 (now 64201) moved from minor group 656 to 6420.
,,,6522,Support occupations in personal services,5,Minor group 656 was split. Unit group 6563 (now 65220) and 6564 (now 65229) moved from minor group 656 to 6522.
661,Cashiers,D,6510,Cashiers and other sales support occupations,5,Label modified.
662,Other sales support and related occupations,D,6510,Cashiers and other sales support occupations,5,Label modified.
671,"Food counter attendants, kitchen helpers and related support occupations",D,6520,Food support occupations,5,Label modified.
672,"Support occupations in accommodation, travel and amusement services",D,6521,"Support occupations in accommodation, travel, tourism and amusement services",5,N/A
673,Cleaners,D,7320,"Building maintenance installers, services and repairers",3,Job titles related to building superintendent and maintenance work moved from minor group 673 to 7320.
,,,6531,Cleaners,5,"Unit groups 6731 (now 65310), 6732 (now 65311) and 6733 (now 65312) moved from minor group 673 to 6531."
674,"Other service support and related occupations, n.e.c.",D,6532,Service support and related occupations,5,Label modified.
720,"Contractors and supervisors, industrial, electrical and construction trades and related workers",B,7201,"Contractors and supervisors, technical industrial, electrical and construction trades and related workers",2,English label of this minor group has been modified.
723,"Machining, metal forming, shaping and erecting trades",B,7210,"Machining, technical metal forming, shaping and erecting trades",2,English label of this minor group has been modified.
724,Electrical trades and electrical power line and telecommunications workers,B,7220,Electrical trades and technical electrical power line and telecommunications workers,2,English label of this minor group has been modified.
725,"Plumbers, pipefitters and gas fitters",B,7230,"Plumbers, pipefitters and gas fitters",2,N/A
727,Carpenters and cabinetmakers,B,7231,Carpenters and cabinetmakers,2,N/A
728,Masonry and plastering trade,B,7232,Bricklayers and Insulators,2,Minor group 728 was split. Unit group 7281 (now 72320) moved from minor group 728 to 7232.
,,,7310,"Concrete finishers, tilesetters and plasterers",3,"Minor group 728 was split. Unit groups 7282 (now 73100), 7283 (now 73101) and 7284 (now 73102) moved from minor group 728 to 7310."
729,Other construction trades,B,7232,Bricklayers and Insulators,2,Minor group 729 was split. Unit group 7293 (now 72321) moved from minor group 729 to 7232.
,,,7311,"Roofers, glaziers, painters, decorators and floor covering installers",3,"Minor group 729 was split. Unit group 7291 (now 73110), 7292 (now 73111), 7294 (now 73112) and 7295 (now 73113) moved from minor group 729 to 7311."
730,"Contractors and supervisors, maintenance trades and heavy equipment and transport operators",B,7202,"Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators",2,English label of this minor group has been modified.
731,Machinery and transportation equipment mechanics (except motor vehicles),B,7240,Machinery and transportation equipment mechanics (except motor vehicles),2,N/A
732,Automotive service technicians,B,7241,Automotive service technicians,2,N/A
733,Other mechanics and related repairers,B,7242,Small engine and equipment mechanics and related repairers (including electrical components),2,Label modified.
736,Train crew operating occupations,B,7331,Train crew operating occupations,3,N/A
737,"Crane operators, drillers and blasters",B,7250,Crane operators and water well drillers,2,Minor group 737 was split. Unit groups 7371 (now 72500) and 7373 (now 72501) moved from minor group 737 to 7250.
,,,7340,"Operators, drillers and blasters",3,Minor group 737 was split. Unit group 7372 (now 73402) moved from minor group 737 to 7340.
,,,7511,Trades helpers and labourers,5,Minor group 737 was split. Job titles related to rigging moved from minor group 737 to 7511.
738,"Printing press operators and other trades and related occupations, n.e.c.",B,7242,Small engine and equipment mechanics and related repairers (including electrical components),2,"Minor group 738 was split. Job titles related to recreation and vehicle mechanic, repairer, and service technician moved from minor group 738 to 7242."
,,,7299,Other technical trades,2,Minor group 738 was split. Unit group 7384 (now 72999) moved from minor group 738 to 7299.
,,,7340,"Operators, drillers and blasters",3,Minor group 738 was split. Unit group 7381 (now 73401) moved from minor group 738 to 7340.
744,"Other installers, repairers and servicers",C,2231,Technical occupations in electronics and electrical engineering,2,"Minor group 744 was split. Job title ""Security systems technician"" moved from minor group 744 to 2231."
,,,7320,"Building maintenance installers, services and repairers",3,"Minor group 744 was split. Unit groups 7441 (now 73200), 7444 (now 73202) and 7445 (now 73209) moved from minor group 744 to 7320."
,,,7420,"Transport equipment operators, utility maintenance and related maintenance workers",4,Minor group 744 was split. Unit group 7442 (now 74202) moved from minor group 744 to 7420.
745,Longshore workers and material handlers,C,7510,Longshore workers and material handlers,5,N/A
751,Motor vehicle and transit drivers,C,7330,Transport truck and transit drivers,3,Minor group 751 was split. Unit groups 7511 (now 73300) and 7512 (now 73301) moved from minor group 751 to 7330.
,,,7410,Mail and message distribution occupations,4,Minor group 751 was split. Job titles related to courier service drivers moved from minor group 751 to 7410.
